Rnum,Run,motion,counter,Task
R4482,4,0.102116,0.0,WM
R4482,4,0.0234595,2.324725,WM
R4482,4,0.0253322,0.0,WM
R4482,4,0.0439346,2.5248489999999997,WM
R4482,4,0.0416641,5.349727,WM
R4482,4,0.0670292,7.624225,WM
R4482,4,0.0316902,0.0,WM
R4482,4,0.0488056,2.4750199999999998,WM
R4482,4,0.0266842,0.0,WM
R4482,4,0.0338791,2.424629,WM
R4482,4,0.0598158,4.899474,WM
R4482,4,0.0284891,0.0,WM
R4482,4,0.0315819,2.5247439999999997,WM
R4482,4,0.0203461,0.0,WM
R4482,4,0.0413709,2.424693,WM
R4482,4,0.0138246,4.949667,WM
R4482,4,0.0584755,0.0,WM
R3380,2,0.0263983,0.0,WM
R3380,2,0.0253983,2.8769270000000002,WM
R3380,2,0.0176112,5.553807,WM
R3380,2,0.0192452,0.0,WM
R3380,2,0.0225339,2.826995,WM
R3380,2,0.0109623,0.0,WM
R3380,2,0.0344162,2.535437,WM
R3380,2,0.0145524,0.0,WM
R3380,2,0.0151022,2.5101199999999997,WM
R3380,2,0.0202386,5.237002,WM
R3380,2,0.030221,0.0,WM
R3380,2,0.0316872,2.526727,WM
R3380,2,0.0205335,0.0,WM
R3380,2,0.0261947,2.2265319999999997,WM
R3380,2,0.0327577,4.953488,WM
R3380,2,0.0396216,0.0,WM
R3380,2,0.0188838,2.384892,WM
R3380,2,0.0130606,0.0,WM
R4236,2,0.0343174,0.0,WM
R4236,2,0.0262107,2.777329,WM
R4236,2,0.0417087,5.454284,WM
R4236,2,0.0240182,0.0,WM
R4236,2,0.0251839,2.385006,WM
R4236,2,0.027015,0.0,WM
R4236,2,0.027015,2.4353960000000003,WM
R4236,2,0.0240409,0.0,WM
R4236,2,0.0240409,2.6268640000000003,WM
R4236,2,0.0551749,0.0,WM
R4236,2,0.0161454,2.626538,WM
R4236,2,0.0680645,0.0,WM
R4236,2,0.0736262,2.577273,WM
R4236,2,0.0169568,5.11242,WM
R4236,2,0.025707,7.639139,WM
R4236,2,0.0338132,0.0,WM
R4236,2,0.0338132,2.48564,WM
R4236,2,0.015136,0.0,WM
R4447,3,0.0684981,0.0,WM
R4447,3,0.0235901,2.675059,WM
R4447,3,0.0425803,5.550137,WM
R4447,3,0.0372556,8.325022,WM
R4447,3,0.0269595,0.0,WM
R4447,3,0.0170583,2.174658,WM
R4447,3,0.0404907,0.0,WM
R4447,3,0.0264351,2.774969,WM
R4447,3,0.0165974,0.0,WM
R4447,3,0.0162924,2.6751530000000003,WM
R4447,3,0.0190887,0.0,WM
R4447,3,0.0190887,2.224923,WM
R4447,3,0.0694098,4.750122,WM
R4447,3,0.0627004,7.024829,WM
R4447,3,0.0253965,0.0,WM
R4447,3,0.0215923,2.7250810000000003,WM
R4447,3,0.0679846,0.0,WM
R4447,3,0.0694879,2.8250640000000002,WM
R4447,3,0.0536089,0.0,WM
R4447,3,0.0496449,2.475041,WM
R4302,3,0.0235795,0.0,WM
R4302,3,0.0308951,2.476972,WM
R4302,3,0.01422,0.0,WM
R4302,3,0.0235848,2.235338,WM
R4302,3,0.0268178,0.0,WM
R4302,3,0.0231241,2.476594,WM
R4302,3,0.0434671,0.0,WM
R4302,3,0.0276654,2.527145,WM
R4302,3,0.0276654,5.262456,WM
R4302,3,0.0163023,0.0,WM
R4302,3,0.0589945,2.326887,WM
R4302,3,0.0216978,0.0,WM
R4302,3,0.0240353,2.885439,WM
R4302,3,0.0187909,0.0,WM
R4302,3,0.0682743,2.7774029999999996,WM
R4302,3,0.0357508,5.612726,WM
R4302,3,0.0271893,0.0,WM
R4204,3,0.0828857,0.0,WM
R4204,3,0.0287252,2.585177,WM
R4204,3,0.0217092,0.0,WM
R4204,3,0.0507331,2.776888,WM
R4204,3,0.0536979,5.3036840000000005,WM
R4204,3,0.0908341,0.0,WM
R4204,3,0.157427,2.576825,WM
R4204,3,0.206686,4.703253,WM
R4204,3,0.0569612,0.0,WM
R4204,3,0.0550907,2.826939,WM
R4204,3,0.0358917,5.603865,WM
R4204,3,0.0545362,7.780253,WM
R4204,3,0.128492,0.0,WM
R4204,3,0.128492,2.52681,WM
R4204,3,1.00302,0.0,WM
R4204,3,0.295404,2.176638,WM
R4204,3,0.101873,0.0,WM
R4204,3,0.104865,2.585244,WM
R4204,3,0.303781,0.0,WM
R4204,3,0.155654,2.526636,WM
R4447,1,0.0200015,0.0,WM
R4447,1,0.0200015,2.4749100000000004,WM
R4447,1,0.00492922,0.0,WM
R4447,1,0.00492922,2.6751530000000003,WM
R4447,1,0.0157785,0.0,WM
R4447,1,0.0157785,2.625243,WM
R4447,1,0.0228169,5.149895000000001,WM
R4447,1,0.0104209,7.524701,WM
R4447,1,0.043859,0.0,WM
R4447,1,0.0487497,2.575041,WM
R4447,1,0.0116082,0.0,WM
R4447,1,0.0122538,2.6244940000000003,WM
R4447,1,0.0462371,0.0,WM
R4447,1,0.0614735,2.3748650000000002,WM
R4447,1,0.0264882,0.0,WM
R4447,1,0.0281234,2.475061,WM
R4447,1,0.0178822,0.0,WM
R4447,1,0.0129478,2.5249960000000002,WM
R4447,1,0.0135854,5.199827,WM
R4447,1,0.0301936,8.124823,WM
R4508,1,0.0328386,0.0,WM
R4508,1,0.0253944,2.383337,WM
R4508,1,0.0619586,0.0,WM
R4508,1,0.0404528,2.5749440000000003,WM
R4508,1,0.0235139,0.0,WM
R4508,1,0.0337807,2.641601,WM
R4508,1,0.0436742,4.974975000000001,WM
R4508,1,0.0273234,7.5998850000000004,WM
R4508,1,0.0431952,0.0,WM
R4508,1,0.0297875,2.674898,WM
R4508,1,0.0557688,0.0,WM
R4508,1,0.0674062,2.724646,WM
R4508,1,0.0674062,5.199401,WM
R4508,1,0.0542894,0.0,WM
R4508,1,0.0542894,2.5244050000000002,WM
R4508,1,0.0308016,0.0,WM
R4508,1,0.0335597,2.424994,WM
R4508,1,0.228379,0.0,WM
R4508,1,0.322374,2.374813,WM
R4482,3,0.0526506,0.0,WM
R4482,3,0.109203,2.574995,WM
R4482,3,0.0551823,5.300112,WM
R4482,3,0.045815,0.0,WM
R4482,3,0.080968,2.4746979999999996,WM
R4482,3,0.0318187,0.0,WM
R4482,3,0.0283692,2.474739,WM
R4482,3,0.0918482,0.0,WM
R4482,3,0.0346886,2.5749429999999998,WM
R4482,3,0.104211,5.1501909999999995,WM
R4482,3,0.0337379,0.0,WM
R4482,3,0.0501064,2.474751,WM
R4482,3,0.0458283,0.0,WM
R4482,3,0.011667,2.7749919999999997,WM
R4482,3,0.011667,5.199764999999999,WM
R4482,3,0.061223,0.0,WM
R4482,3,0.0780978,2.6751289999999996,WM
R4482,3,0.0780978,5.099939,WM
R4482,3,0.0473726,7.324617,WM
R4482,3,0.146484,0.0,WM
R4482,3,0.109671,2.8252509999999997,WM
R4482,3,0.0536692,5.650209,WM
