Rnum,Run,motion,counter,Task
R4508,4,0.148568,2.474827,CRT
R4508,4,0.0851642,0.0,CRT
R4508,4,0.114479,2.724724,CRT
R4508,4,0.0789154,5.199683,CRT
R4508,4,0.0850369,0.0,CRT
R4508,4,0.0459372,2.591356,CRT
R4508,4,0.0624927,4.866125,CRT
R4508,4,0.0528334,0.0,CRT
R4508,4,0.0901982,2.524715,CRT
R4508,4,0.0429665,0.0,CRT
R4508,4,0.00803456,2.374704,CRT
R4508,4,0.0287423,0.0,CRT
R4508,4,0.0287423,2.575111,CRT
R4508,4,0.094577,5.500062,CRT
R4508,4,0.0293534,0.0,CRT
R4508,4,0.0342103,2.774927,CRT
R4508,4,0.0446689,5.099623,CRT
R3111,3,0.01669,0.0,CRT
R3111,3,0.0197447,2.635551,CRT
R3111,3,0.0217968,5.312337,CRT
R3111,3,0.0501706,0.0,CRT
R3111,3,0.0351145,2.4772760000000003,CRT
R3111,3,0.0647621,0.0,CRT
R3111,3,0.0319832,2.426753,CRT
R3111,3,0.0319832,4.653292,CRT
R3111,3,0.047608,0.0,CRT
R3111,3,0.0251858,2.4848920000000003,CRT
R3111,3,0.0327259,4.911693,CRT
R3111,3,0.0427072,0.0,CRT
R3111,3,0.0622767,2.927525,CRT
R3111,3,0.0468509,0.0,CRT
R3111,3,0.0384238,2.4266620000000003,CRT
R3111,3,0.0279635,0.0,CRT
R3111,3,0.0301351,2.626888,CRT
R3111,3,0.0575347,5.053441,CRT
R3111,3,0.0425766,7.530181,CRT
R3111,3,0.019097,0.0,CRT
R3111,3,0.0565427,2.935364,CRT
R4053,3,0.00787839,0.0,CRT
R4053,3,0.0195733,2.877481,CRT
R4053,3,0.0508094,0.0,CRT
R4053,3,0.00649964,2.727257,CRT
R4053,3,0.0587666,0.0,CRT
R4053,3,0.0919545,2.427027,CRT
R4053,3,0.0587,0.0,CRT
R4053,3,0.0584923,2.8353729999999997,CRT
R4053,3,0.0597688,5.662352,CRT
R4053,3,0.0598084,0.0,CRT
R4053,3,0.0441436,2.585071,CRT
R4053,3,0.0229655,0.0,CRT
R4053,3,0.0687372,2.726891,CRT
