,unique_ID,IDNO,RNUM,RUN,stimType,mwType,nBack,keyResp,fixT,stimT,stimPic,Ans,fixStart_offset,stimStart_offset,counter
93,520,1,R3262,R4,NT,NT,1,None,1.65,1.15,Stimuli/nB_N_square_circle.png,None,307.2971,310.132641,0.0
94,521,1,R3262,R4,NT,NT,1,None,1.3,0.95,Stimuli/nB_N_triangle_circle.png,None,310.140749,312.409179,2.276538
95,522,1,R3262,R4,NT,NT,1,None,1.45,1.1,Stimuli/nB_N_circle_square.png,None,312.417318,314.994381,4.86174
96,536,1,R3262,R4,NT,NT,1,None,1.4,1.0,Stimuli/nB_N_triangle_square.png,None,381.632105,384.05854,0.0
97,604,2,R3678,R1,NT,NT,1,None,1.45,1.1,Stimuli/nB_N_circle_square.png,None,0.0,2.585274,0.0
98,605,2,R3678,R1,NT,NT,1,None,1.7,1.15,Stimuli/nB_N_triangle_circle.png,None,2.593667,5.462663,2.877389
99,606,2,R3678,R1,TT,TT,1,right,1.6,2.35,Stimuli/nB_T_CIRCLE.png,right,5.470795,7.088523,4.503249
100,607,2,R3678,R1,NT,NT,1,None,1.35,0.85,Stimuli/nB_N_triangle_square.png,None,9.456816,11.683632,0.0
101,608,2,R3678,R1,NT,NT,1,None,1.65,1.15,Stimuli/nB_N_circle_square.png,None,11.691756,14.518941,2.835309
102,609,2,R3678,R1,TT,TT,1,right,1.35,2.2,Stimuli/nB_T_SQUARE.png,right,14.527006,15.894627,4.210995
103,610,2,R3678,R1,NT,NT,1,None,1.5,1.15,Stimuli/nB_N_square_circle.png,None,18.11283,20.781635,0.0
104,611,2,R3678,R1,NT,NT,1,None,1.45,0.95,Stimuli/nB_N_triangle_circle.png,None,20.789374,23.20812,2.426485
105,625,2,R3678,R1,NT,NT,1,None,1.7,1.15,Stimuli/nB_N_circle_square.png,None,89.654118,92.530937,0.0
106,626,2,R3678,R1,NT,NT,1,None,1.45,1.1,Stimuli/nB_N_triangle_circle.png,None,92.539428,95.108189,2.577252
107,627,2,R3678,R1,NT,NT,1,None,1.7,0.9,Stimuli/nB_N_circle_square.png,None,95.11623,97.734538,5.203601
108,628,2,R3678,R1,TT,TT,1,right,1.5,2.45,Stimuli/nB_T_SQUARE.png,right,97.74302,99.260765,6.729828
109,629,2,R3678,R1,NT,NT,1,None,1.6,0.95,Stimuli/nB_N_circle_triangle.png,None,101.729082,104.306092,0.0
110,630,2,R3678,R1,NT,NT,1,None,1.65,1.2,Stimuli/nB_N_triangle_square.png,None,104.314234,107.191503,2.885411
111,644,2,R3678,R1,NT,NT,1,None,1.65,0.95,Stimuli/nB_N_circle_square.png,None,173.536918,176.163749,0.0
112,645,2,R3678,R1,NT,NT,1,None,1.45,0.9,Stimuli/nB_N_triangle_circle.png,None,176.17234,178.540827,2.377078
