unique_ID,IDNO,RNUM,RUN,stimType,mwType,nBack,keyResp,fixT,stimT,stimPic,Ans,fixStart_offset,stimStart_offset
927,2,R3678,R3,TT,TT,1,right,1.7,2.15,Stimuli/nB_T_SQUARE.png,left,88.945238,90.66309
928,2,R3678,R3,NT,NT,1,None,1.65,0.8,Stimuli/nB_N_circle_triangle.png,None,92.831268,95.308118
929,2,R3678,R3,NT,NT,1,None,1.4,0.85,Stimuli/nB_N_square_circle.png,None,95.316299,97.584667
943,2,R3678,R3,NT,NT,1,None,1.6,0.9,Stimuli/nB_N_triangle_square.png,None,164.072193,166.598734
944,2,R3678,R3,NT,NT,1,None,1.65,1.15,Stimuli/nB_N_square_circle.png,None,166.607311,169.434525
945,2,R3678,R3,NT,NT,1,None,1.5,1.2,Stimuli/nB_N_circle_triangle.png,None,169.442638,172.161456
946,2,R3678,R3,TT,TT,1,right,1.3,2.25,Stimuli/nB_T_TRIANGLE.png,right,172.169499,173.487099
947,2,R3678,R3,NT,NT,1,None,1.6,1.05,Stimuli/nB_N_square_triangle.png,None,175.755327,178.424116
948,2,R3678,R3,NT,NT,1,None,1.35,0.8,Stimuli/nB_N_circle_square.png,None,178.432195,180.608827
949,2,R3678,R3,NT,NT,1,None,1.7,0.85,Stimuli/nB_N_circle_triangle.png,None,180.617022,183.185599
950,2,R3678,R3,TT,TT,1,right,1.6,2.3,Stimuli/nB_T_TRIANGLE.png,right,183.193801,184.81994
951,2,R3678,R3,NT,NT,1,None,1.7,1.2,Stimuli/nB_N_circle_triangle.png,None,187.138227,190.065479
952,2,R3678,R3,NT,NT,1,None,1.7,0.8,Stimuli/nB_N_triangle_circle.png,None,190.073529,192.592128
953,2,R3678,R3,TT,TT,1,left,1.45,2.45,Stimuli/nB_T_TRIANGLE.png,left,192.600316,194.068027
954,2,R3678,R3,NT,NT,1,None,1.5,1.15,Stimuli/nB_N_circle_triangle.png,None,196.536405,199.20514
1109,2,R3678,R4,NT,NT,1,None,1.5,1.15,Stimuli/nB_N_triangle_square.png,None,207.702454,210.379095
1110,2,R3678,R4,NT,NT,1,None,1.4,0.8,Stimuli/nB_N_square_circle.png,None,210.38764,212.605906
1111,2,R3678,R4,NT,NT,1,None,1.4,0.85,Stimuli/nB_N_circle_triangle.png,None,212.613803,214.882537
1125,2,R3678,R4,NT,NT,1,None,1.55,1.1,Stimuli/nB_N_circle_triangle.png,None,281.178312,283.854993
1126,2,R3678,R4,NT,NT,1,None,1.45,1.1,Stimuli/nB_N_triangle_square.png,None,283.863473,286.432137
1140,2,R3678,R4,NT,NT,1,None,1.7,1,Stimuli/nB_N_triangle_circle.png,None,352.919668,355.646311
1141,2,R3678,R4,NT,NT,1,None,1.45,0.9,Stimuli/nB_N_triangle_circle.png,None,355.654889,358.031703
1142,2,R3678,R4,NT,NT,1,None,1.7,0.9,Stimuli/nB_N_triangle_square.png,None,358.039818,360.666885
1143,2,R3678,R4,TT,TT,1,left,1.7,2.15,Stimuli/nB_T_TRIANGLE.png,left,360.675008,362.401217
1144,2,R3678,R4,NT,NT,1,None,1.65,1.2,Stimuli/nB_N_triangle_circle.png,None,364.569292,367.44661
1145,2,R3678,R4,NT,NT,1,None,1.55,0.95,Stimuli/nB_N_circle_square.png,None,367.454708,369.981626
1146,2,R3678,R4,NT,NT,1,None,1.7,1.1,Stimuli/nB_N_triangle_square.png,None,369.989759,372.816959
1147,2,R3678,R4,TT,TT,1,right,1.55,2.5,Stimuli/nB_T_SQUARE.png,right,372.82508,374.392836
1148,2,R3678,R4,NT,NT,1,None,1.6,1.15,Stimuli/nB_N_triangle_circle.png,None,376.911267,379.680079
1149,2,R3678,R4,NT,NT,1,None,1.45,1.2,Stimuli/nB_N_square_circle.png,None,379.688187,382.36526
1163,2,R3678,R4,NT,NT,1,None,1.6,1.05,Stimuli/nB_N_circle_triangle.png,None,448.702595,451.379134
1164,2,R3678,R4,NT,NT,1,None,1.4,0.9,Stimuli/nB_N_triangle_square.png,None,451.387819,453.706198
1165,2,R3678,R4,TT,TT,1,right,1.5,2.1,Stimuli/nB_T_SQUARE.png,right,453.714389,455.232125
1166,2,R3678,R4,NT,NT,1,None,1.45,1.2,Stimuli/nB_N_triangle_circle.png,None,457.350283,460.027353
1167,2,R3678,R4,NT,NT,1,None,1.3,0.9,Stimuli/nB_N_triangle_circle.png,None,460.035451,462.261544
1168,2,R3678,R4,NT,NT,1,None,1.45,0.9,Stimuli/nB_N_triangle_circle.png,None,462.270305,464.63881
1169,2,R3678,R4,TT,TT,1,right,1.55,2.3,Stimuli/nB_T_CIRCLE.png,right,464.646961,466.223077
1170,2,R3678,R4,NT,NT,1,None,1.6,1.1,Stimuli/nB_N_square_triangle.png,None,468.54134,471.259963
1171,2,R3678,R4,NT,NT,1,None,1.55,1.2,Stimuli/nB_N_triangle_square.png,None,471.268149,474.044952
1185,2,R3678,R4,NT,NT,1,None,1.5,0.8,Stimuli/nB_N_triangle_circle.png,None,540.682905,543.009236
1208,3,R2595,R1,NT,NT,1,None,1.35,1.1,Stimuli/nB_N_triangle_circle.png,None,0,2.47683200000001
1209,3,R2595,R1,NT,NT,1,None,1.4,0.95,Stimuli/nB_N_square_circle.png,None,2.48539,4.86215500000001
1210,3,R2595,R1,TT,TT,1,right,1.55,2.5,Stimuli/nB_T_CIRCLE.png,right,4.870325,6.43809500000001
1211,3,R2595,R1,NT,NT,1,None,1.7,0.95,Stimuli/nB_N_square_circle.png,None,8.95643400000001,11.625193
1212,3,R2595,R1,NT,NT,1,None,1.35,1.2,Stimuli/nB_N_circle_square.png,None,11.633285,14.210395
1213,3,R2595,R1,NT,NT,1,None,1.65,0.85,Stimuli/nB_N_circle_triangle.png,None,14.218486,16.745372
1214,3,R2595,R1,NT,NT,1,None,1.3,0.9,Stimuli/nB_N_square_circle.png,None,16.753544,18.971928
1228,3,R2595,R1,NT,NT,1,None,1.55,1.15,Stimuli/nB_N_circle_triangle.png,None,85.659595,88.386326
1229,3,R2595,R1,NT,NT,1,None,1.65,1.15,Stimuli/nB_N_circle_triangle.png,None,88.394862,91.222027
1230,3,R2595,R1,TT,TT,1,right,1.6,2.25,Stimuli/nB_T_TRIANGLE.png,right,91.23014,92.847918
1231,3,R2595,R1,NT,NT,1,None,1.3,1.15,Stimuli/nB_N_triangle_square.png,None,95.116159,97.584783
1232,3,R2595,R1,NT,NT,1,None,1.4,0.95,Stimuli/nB_N_circle_triangle.png,None,97.592813,99.961351
1246,3,R2595,R1,NT,NT,1,None,1.7,1.1,Stimuli/nB_N_circle_square.png,None,166.49867,169.325679
1247,3,R2595,R1,NT,NT,1,None,1.6,1.15,Stimuli/nB_N_circle_triangle.png,None,169.334203,172.103023
1248,3,R2595,R1,NT,NT,1,None,1.45,1.1,Stimuli/nB_N_circle_square.png,None,172.111126,174.679803
1249,3,R2595,R1,TT,TT,1,right,1.4,2.3,Stimuli/nB_T_SQUARE.png,right,174.687907,176.113899
1250,3,R2595,R1,NT,NT,1,None,1.55,0.85,Stimuli/nB_N_triangle_square.png,None,178.432173,180.859048
1251,3,R2595,R1,NT,NT,1,None,1.45,1.15,Stimuli/nB_N_circle_square.png,None,180.867181,183.494231
