unique_ID,IDNO,RNUM,RUN,stimType,mwType,nBack,keyResp,fixT,stimT,stimPic,Ans,fixStart_offset,stimStart_offset,Correct
609,2,R3678,R1,TT,TT,1,right,1.35,2.2,Stimuli/nB_T_SQUARE.png,right,14.527006,15.894627,True
610,2,R3678,R1,NT,NT,1,None,1.5,1.15,Stimuli/nB_N_square_circle.png,None,18.11283,20.781635,True
611,2,R3678,R1,NT,NT,1,None,1.45,0.95,Stimuli/nB_N_triangle_circle.png,None,20.789374,23.20812,True
625,2,R3678,R1,NT,NT,1,None,1.7,1.15,Stimuli/nB_N_circle_square.png,None,89.654118,92.530937,True
626,2,R3678,R1,NT,NT,1,None,1.45,1.1,Stimuli/nB_N_triangle_circle.png,None,92.539428,95.108189,True
627,2,R3678,R1,NT,NT,1,None,1.7,0.9,Stimuli/nB_N_circle_square.png,None,95.11623,97.734538,True
628,2,R3678,R1,TT,TT,1,right,1.5,2.45,Stimuli/nB_T_SQUARE.png,right,97.74302,99.260765,True
629,2,R3678,R1,NT,NT,1,None,1.6,0.95,Stimuli/nB_N_circle_triangle.png,None,101.729082,104.306092,True
630,2,R3678,R1,NT,NT,1,None,1.65,1.2,Stimuli/nB_N_triangle_square.png,None,104.314234,107.191503,True
644,2,R3678,R1,NT,NT,1,None,1.65,0.95,Stimuli/nB_N_circle_square.png,None,173.536918,176.163749,True
645,2,R3678,R1,NT,NT,1,None,1.45,0.9,Stimuli/nB_N_triangle_circle.png,None,176.17234,178.540827,True
646,2,R3678,R1,NT,NT,1,None,1.55,0.85,Stimuli/nB_N_triangle_circle.png,None,178.548991,180.9675,True
647,2,R3678,R1,NT,NT,1,None,1.55,0.85,Stimuli/nB_N_triangle_square.png,None,180.975669,183.394188,True
648,2,R3678,R1,TT,TT,1,right,1.65,2.5,Stimuli/nB_T_SQUARE.png,right,183.40235,185.070198,True
649,2,R3678,R1,NT,NT,1,None,1.4,1.2,Stimuli/nB_N_triangle_circle.png,None,187.588568,190.215685,True
650,2,R3678,R1,NT,NT,1,None,1.3,1.05,Stimuli/nB_N_circle_triangle.png,None,190.223756,192.592248,True
664,2,R3678,R1,NT,NT,1,None,1.35,1.05,Stimuli/nB_N_circle_triangle.png,None,258.879634,261.306119,True
821,2,R3678,R2,NT,NT,1,None,1.5,1.2,Stimuli/nB_N_circle_triangle.png,None,274.73222,277.458872,True
822,2,R3678,R2,NT,NT,1,None,1.65,1.1,Stimuli/nB_N_circle_square.png,None,277.467384,280.236206,True
823,2,R3678,R2,TT,TT,1,left,1.3,2.5,Stimuli/nB_T_CIRCLE.png,left,280.24437,281.561925,True
824,2,R3678,R2,NT,NT,1,None,1.7,1.2,Stimuli/nB_N_square_triangle.png,None,284.080362,287.007541,True
825,2,R3678,R2,NT,NT,1,None,1.55,1.05,Stimuli/nB_N_triangle_square.png,None,287.015697,289.634411,True
826,2,R3678,R2,TT,TT,1,right,1.65,2.5,Stimuli/nB_T_SQUARE.png,right,289.642454,291.310299,True
827,2,R3678,R2,NT,NT,1,None,1.35,1.15,Stimuli/nB_N_circle_triangle.png,None,293.828772,296.355759,True
828,2,R3678,R2,NT,NT,1,None,1.45,1.2,Stimuli/nB_N_circle_triangle.png,None,296.363871,299.03263,True
829,2,R3678,R2,NT,NT,1,None,1.55,0.95,Stimuli/nB_N_square_triangle.png,None,299.040717,301.567626,True
843,2,R3678,R2,NT,NT,1,None,1.55,1.05,Stimuli/nB_N_triangle_circle.png,None,368.255249,370.881904,True
844,2,R3678,R2,NT,NT,1,None,1.7,0.95,Stimuli/nB_N_circle_square.png,None,370.890426,373.55913,True
845,2,R3678,R2,TT,TT,1,left,1.65,2.3,Stimuli/nB_T_CIRCLE.png,left,373.567221,375.243449,True
846,2,R3678,R2,NT,NT,1,None,1.3,0.9,Stimuli/nB_N_square_triangle.png,None,377.561752,379.78011,True
847,2,R3678,R2,NT,NT,1,None,1.65,0.9,Stimuli/nB_N_triangle_circle.png,None,379.788241,382.365252,True
848,2,R3678,R2,TT,TT,1,left,1.6,2.15,Stimuli/nB_T_TRIANGLE.png,left,382.373371,383.999487,True
849,2,R3678,R2,NT,NT,1,None,1.35,0.8,Stimuli/nB_N_square_triangle.png,None,386.16756,388.335964,True
850,2,R3678,R2,NT,NT,1,None,1.5,0.8,Stimuli/nB_N_circle_square.png,None,388.344164,390.670812,True
851,2,R3678,R2,NT,NT,1,None,1.4,1.05,Stimuli/nB_N_triangle_square.png,None,390.679103,393.147691,True
852,2,R3678,R2,TT,TT,1,right,1.4,2.35,Stimuli/nB_T_SQUARE.png,right,393.155853,394.573502,True
853,2,R3678,R2,NT,NT,1,None,1.7,0.95,Stimuli/nB_N_square_triangle.png,None,396.941791,399.618789,True
854,2,R3678,R2,NT,NT,1,None,1.35,1.1,Stimuli/nB_N_circle_triangle.png,None,399.626707,402.09516,True
868,2,R3678,R2,NT,NT,1,None,1.55,0.8,Stimuli/nB_N_circle_square.png,None,468.633126,471.009451,True
869,2,R3678,R2,NT,NT,1,None,1.65,0.95,Stimuli/nB_N_square_circle.png,None,471.018061,473.636741,True
883,2,R3678,R2,NT,NT,1,None,1.7,1.1,Stimuli/nB_N_circle_triangle.png,None,540.23267,543.05941,True
906,2,R3678,R3,NT,NT,1,None,1.55,0.95,Stimuli/nB_N_triangle_square.png,None,0.0,2.526811,True
907,2,R3678,R3,NT,NT,1,None,1.5,1.0,Stimuli/nB_N_triangle_circle.png,None,2.535131,5.053983,True
908,2,R3678,R3,TT,TT,1,right,1.65,2.3,Stimuli/nB_T_CIRCLE.png,right,5.062179,6.72992,True
909,2,R3678,R3,NT,NT,1,None,1.5,1.15,Stimuli/nB_N_square_circle.png,None,9.048234,11.716943,True
910,2,R3678,R3,NT,NT,1,None,1.65,1.0,Stimuli/nB_N_circle_square.png,None,11.725022,14.393809,True
924,2,R3678,R3,NT,NT,1,None,1.55,1.05,Stimuli/nB_N_circle_square.png,None,80.739577,83.366179,True
925,2,R3678,R3,NT,NT,1,None,1.7,1.0,Stimuli/nB_N_square_circle.png,None,83.374706,86.101854,True
926,2,R3678,R3,NT,NT,1,None,1.65,1.15,Stimuli/nB_N_square_circle.png,None,86.109914,88.937138,True
927,2,R3678,R3,TT,TT,1,right,1.7,2.15,Stimuli/nB_T_SQUARE.png,left,88.945238,90.66309,False
928,2,R3678,R3,NT,NT,1,None,1.65,0.8,Stimuli/nB_N_circle_triangle.png,None,92.831268,95.308118,True
929,2,R3678,R3,NT,NT,1,None,1.4,0.85,Stimuli/nB_N_square_circle.png,None,95.316299,97.584667,True
943,2,R3678,R3,NT,NT,1,None,1.6,0.9,Stimuli/nB_N_triangle_square.png,None,164.072193,166.598734,True
944,2,R3678,R3,NT,NT,1,None,1.65,1.15,Stimuli/nB_N_square_circle.png,None,166.607311,169.434525,True
945,2,R3678,R3,NT,NT,1,None,1.5,1.2,Stimuli/nB_N_circle_triangle.png,None,169.442638,172.161456,True
946,2,R3678,R3,TT,TT,1,right,1.3,2.25,Stimuli/nB_T_TRIANGLE.png,right,172.169499,173.487099,True
947,2,R3678,R3,NT,NT,1,None,1.6,1.05,Stimuli/nB_N_square_triangle.png,None,175.755327,178.424116,True
948,2,R3678,R3,NT,NT,1,None,1.35,0.8,Stimuli/nB_N_circle_square.png,None,178.432195,180.608827,True
949,2,R3678,R3,NT,NT,1,None,1.7,0.85,Stimuli/nB_N_circle_triangle.png,None,180.617022,183.185599,True
950,2,R3678,R3,TT,TT,1,right,1.6,2.3,Stimuli/nB_T_TRIANGLE.png,right,183.193801,184.81994,True
951,2,R3678,R3,NT,NT,1,None,1.7,1.2,Stimuli/nB_N_circle_triangle.png,None,187.138227,190.065479,True
952,2,R3678,R3,NT,NT,1,None,1.7,0.8,Stimuli/nB_N_triangle_circle.png,None,190.073529,192.592128,True
953,2,R3678,R3,TT,TT,1,left,1.45,2.45,Stimuli/nB_T_TRIANGLE.png,left,192.600316,194.068027,True
954,2,R3678,R3,NT,NT,1,None,1.5,1.15,Stimuli/nB_N_circle_triangle.png,None,196.536405,199.20514,True
1109,2,R3678,R4,NT,NT,1,None,1.5,1.15,Stimuli/nB_N_triangle_square.png,None,207.702454,210.379095,True
