unique_ID,IDNO,RNUM,RUN,stimType,mwType,nBack,keyResp,fixStart_offset,stimStart_offset,actual_RT,Probe,MW_onsets,duration,MVPA_weight,Task_PC,Detail_PC,Modality_PC,Emotion_PC
5454,10,R3891,R1,MWQ,Focus,0,4,78.536454,80.154145,0.043084,2,74.154145,6,1,-0.498,0.269,0.264,-0.061
5471,10,R3891,R1,MWQ,Focus,0,4,156.046754,157.614347,0.059155,3,151.614347,6,1,-0.229,0.494,1.167,1.18
5494,10,R3891,R1,MWQ,Focus,0,3,251.068564,252.686344,0.059533,4,246.686344,6,1,-1.66,0.493,0.691,-0.788
5658,10,R3891,R2,MWQ,Focus,0,3,290.14124,291.458749,0.092663,4,285.458749,6,1,-0.391,-1.145,-0.728,0.22
5674,10,R3891,R2,MWQ,Focus,0,2,364.033,365.400607,0.009267,5,359.400607,6,1,-1.221,0.091,-0.805,0.174
5695,10,R3891,R2,MWQ,Focus,0,2,453.960412,455.328002,0.451189,6,449.328002,6,1,-0.943,0.074,-1.359,0.651
5756,10,R3891,R3,MWQ,Focus,0,3,51.536722,53.212665,-0.557251,1,47.212665,6,1,-0.411,-1.201,-0.094,0.55
5771,10,R3891,R3,MWQ,Focus,0,3,123.345588,124.97175,0.401352,2,118.97175,6,1,-1.081,-0.599,-0.298,-0.07
5786,10,R3891,R3,MWQ,Focus,0,4,195.295829,196.96372,-0.649309,3,190.96372,6,1,0.274,0.56,-1.417,-1.757
5949,10,R3891,R4,MWQ,Focus,0,3,231.359648,232.977474,-0.374164,3,226.977474,6,1,0.185,0.927,-0.15,0.269
5965,10,R3891,R4,MWQ,Focus,0,4,305.443823,307.119925,0.468091,4,301.119925,6,1,-0.64,0.067,-0.296,-2.023
5984,10,R3891,R4,MWQ,Focus,0,3,388.367167,390.043359,-0.407503,5,384.043359,6,1,-0.067,-1.949,2.143,0.254
6001,10,R3891,R4,MWQ,Focus,0,3,465.828394,467.145937,2.069462,6,461.145937,6,1,-0.939,-0.217,-0.653,-0.34
