unique_ID,IDNO,RNUM,RUN,stimType,mwType,nBack,keyResp,fixStart_offset,stimStart_offset,actual_RT,Probe,MW_onsets,duration,MVPA_weight,Task_PC,Detail_PC,Modality_PC,Emotion_PC
3993,7,R3884,R3,MWQ,Focus,1,3,278.193444,279.869619,-0.332427,4,273.869619,6,1,0.418,1.257,-1.648,0.535
4014,7,R3884,R3,MWQ,Focus,1,3,367.680607,369.056553,1.451897,5,363.056553,6,1,0.23,1.314,-0.569,0.599
4029,7,R3884,R3,MWQ,Focus,1,3,439.388684,440.964781,-0.432436,6,434.964781,6,1,0.196,1.268,-0.855,0.586
4079,7,R3884,R4,MWQ,Focus,1,3,4.811978,6.387707,-0.298733,1,0.387706999999999,6,1,0.418,1.257,-1.648,0.535
4109,7,R3884,R4,MWQ,Focus,1,2,121.334558,123.060728,0.243014,2,117.060728,6,1,-2.385,0.524,-1.983,0.117
4124,7,R3884,R4,MWQ,Focus,1,2,193.34285,194.910585,1.460412,3,188.910585,6,1,-1.768,0.367,-1.526,0.446
4231,8,R3946,R1,MWQ,Focus,1,4,7.85569399999999,9.531587,0.910423,1,3.53158699999999,6,1,0.901,1.514,0.097,-0.479
4251,8,R3946,R1,MWQ,Focus,1,3,93.123166,94.49918,0.751407,2,88.49918,6,1,0.649,0.622,0.848,-0.995
4440,8,R3946,R2,MWQ,Focus,1,3,231.594313,233.320577,1.777427,3,227.320577,6,1,-0.28,0.39,0.719,0.582
4458,8,R3946,R2,MWQ,Focus,1,3,312.658937,314.335092,-0.248907,4,308.335092,6,1,-0.582,0.788,0.382,1.441
4473,8,R3946,R2,MWQ,Focus,1,1,384.767269,386.234961,-0.449317,5,380.234961,6,1,-1.731,1.789,-0.236,-1.491
4490,8,R3946,R2,MWQ,Focus,1,3,462.004148,463.371771,0.976604,6,457.371771,6,1,-0.35,0.469,-0.291,0.691
4584,8,R3946,R3,MWQ,Focus,1,3,212.881333,214.34904,0.167773,3,208.34904,6,1,-0.297,0.732,0.631,0.952
4600,8,R3946,R3,MWQ,Focus,1,3,287.157821,288.784049,-0.699187,4,282.784049,6,1,-0.111,-0.119,0.633,2.182
4615,8,R3946,R3,MWQ,Focus,1,1,358.807591,360.383719,0.526415,5,354.383719,6,1,-0.624,-0.628,-0.164,0.694
4636,8,R3946,R3,MWQ,Focus,1,1,448.511505,449.929169,-0.566052,6,443.929169,6,1,-1.125,-0.96,-0.815,1.579
4687,8,R3946,R4,MWQ,Focus,1,1,17.195619,18.671325,-0.707483,1,12.671325,6,1,-0.647,0.282,-0.007,1.206
4703,8,R3946,R4,MWQ,Focus,1,3,91.780722,93.506969,1.243825,2,87.506969,6,1,0.302,1.166,0.57,0.946
4722,8,R3946,R4,MWQ,Focus,1,4,174.921765,176.639642,0.493175,3,170.639642,6,1,0.46,-0.046,0.679,-0.181
4737,8,R3946,R4,MWQ,Focus,1,4,246.76324,248.489509,-0.507533,4,242.489509,6,1,0.207,1.781,1.016,0.446
4838,9,R4053,R1,MWQ,Focus,1,4,17.562502,18.988226,0.418214,1,12.988226,6,1,0.695,0.462,0.745,0.537
4857,9,R4053,R1,MWQ,Focus,1,4,99.928001,101.303985,0.009293,2,95.303985,6,1,0.949,1.085,0.029,0.535
4993,9,R4053,R2,MWQ,Focus,1,4,28.703572,30.429358,-0.665528,1,24.429358,6,1,0.91,0.735,0.082,0.658
5008,9,R4053,R2,MWQ,Focus,1,4,100.2115,101.787598,-0.41567,2,95.787598,6,1,0.873,0.481,0.234,0.545
5023,9,R4053,R2,MWQ,Focus,1,4,172.41983,173.737505,-0.340874,3,167.737505,6,1,1.188,0.597,0.214,0.531
5205,9,R4053,R3,MWQ,Focus,1,3,291.460871,292.878528,0.551344,4,286.878528,6,1,0.352,0.259,0.101,0.246
