unique_ID,RNUM,counter,Task,Detail,Modality,Emotion
6965,R4302,2.476594,-0.825,0.797,0.084,0.238
6981,R4302,5.262456,-2.549,0.689,-0.227,0.615
6999,R4302,2.885439,-1.867,0.9,-1.046,0.836
7113,R4302,2.585206,-0.246,0.112,-1.107,1.413
7128,R4302,2.527774,0.4,-0.528,-0.783,0.501
7343,R4275,5.00344,1.147,1.761,-1.356,1.565
7358,R4275,2.435532,0.479,0.408,-2.363,0.847
7404,R4275,2.635099,1.758,0.708,0.108,1.732
7419,R4275,2.32681,0.247,0.367,-0.792,-0.124
7439,R4275,2.535033,1.752,0.72,-1.136,0.782
7552,R4275,5.053865,0.877,1.625,1.579,0.247
7578,R4275,8.147297,-0.453,1.311,-1.006,0.778
7593,R4275,2.427036,0.734,0.011,-0.539,0.798
7760,R4275,4.503106,0.716,0.766,-1.388,1.134
7776,R4275,5.312414,0.379,0.382,-1.559,0.972
7795,R4275,2.835362,1.065,1.66,-0.331,1.725
7811,R4275,5.153978,0.668,-0.455,-1.237,2.279
7866,R4307,5.053505,0.658,-0.411,-0.239,-0.512
7884,R4307,2.827027,-0.192,0.119,0.962,-0.77
8096,R4307,5.420361,-1.746,0.705,1.626,0.575
8210,R4307,7.93018,-0.319,-1.074,-0.253,0.385
8225,R4307,2.57726,-0.055,0.182,-0.157,-0.063
8246,R4307,4.553071,-0.378,-0.997,-0.353,0.382
8265,R4307,2.126445,-1.079,0.149,0.303,-0.112
8307,R4307,4.812075,0.673,-0.498,-0.78,0.68
8327,R4307,7.697002,0.686,0.729,-0.133,0.271
8540,R4220,2.526684,1.624,0.122,-1.998,1.341
8555,R4220,2.635485,1.569,-0.863,-1.797,0.945
8665,R4220,5.403704,0.929,-0.383,-1.13,1.29
8680,R4220,2.777398,0.653,0.288,-0.295,0.335
8695,R4220,2.226877,0.984,-0.305,-1.196,0.877
8710,R4220,2.685579,0.942,-1.524,-1.161,0.959
8760,R4220,5.604275,1.218,-1.232,-1.625,0.847
8910,R4220,2.927495,1.455,-1.637,-1.16,-0.528
8925,R4220,2.685721,1.077,-0.228,-2.061,-0.717
8956,R4220,2.426612,0.169,-0.299,-1.125,1.246
9118,R4007,2.734891,1.648,0.418,-0.082,-1.154
9142,R4007,2.826977,1.914,0.365,0.263,-0.867
9157,R4007,2.427056,1.879,0.704,0.25,-0.943
9173,R4007,5.103996,1.824,1.154,0.433,-1.178
9217,R4007,2.826999,1.766,0.055,0.264,-0.894
9244,R4007,4.952951,-0.158,-0.806,1.221,1.165
9259,R4007,2.5357,1.261,0.104,0.215,-0.214
9366,R4007,2.635266,-0.574,-0.074,-0.399,0.911
9381,R4007,2.677407,-0.027,-1.319,0.127,1.339
9554,R4007,5.370873,-1.126,-1.077,-0.133,0.331
9571,R4007,7.680641,0.004,0.483,0.812,0.295
9586,R4007,2.377055,-1.167,0.215,-0.919,0.383
9602,R4007,5.304054,-0.782,0.725,0.229,1.02
9623,R4007,2.234768,0.3,-0.442,0.45,-0.084
9743,R3773,2.276516,-0.177,-2.879,0.349,-0.657
9768,R3773,5.161931,-1.158,-1.577,0.045,-1.745
9867,R3773,7.338832,-1.252,0.101,0.466,-3.249
9882,R3773,2.72727,-1.912,-0.046,0.27,-2.453
9905,R3773,2.826992,-0.641,-1.903,-0.669,0.042
9928,R3773,2.526845,-1.819,-0.503,0.282,-0.495
9967,R3773,2.285148,-1.865,0.253,2.074,-0.595
9984,R3773,7.689123,-1.363,-1.152,-0.475,1.057
10007,R3773,2.326626,-1.725,-0.398,0.456,-1.525
10122,R3773,2.676919,-1.037,-1.167,1.434,0.578
10149,R3773,7.93885,-0.913,0.361,2.228,0.328
10270,R4239,5.304029,1.898,0.912,0.9,-0.126
10292,R4239,4.720022,1.453,0.712,-0.515,1.437
10310,R4239,2.485072,-1.418,0.262,1.76,1.325
10325,R4239,2.627262,1.839,0.562,-0.04,-0.668
10483,R4239,2.885796,-1.026,-0.341,1.027,2.081
10501,R4239,2.334986,1.167,0.105,2.161,-1.077
10529,R4239,8.088907,1.172,2.168,0.647,-0.835
10633,R4239,5.062162,0.55,2.768,0.109,-0.996
10653,R4239,2.677177,-1.074,2.242,0.07,-0.055
10668,R4239,2.577169,-1.932,1.876,-1.291,-0.975
10725,R4239,2.485031,1.996,2.001,0.506,-0.814
10741,R4239,5.153908,-1.83,0.389,0.48,1.794
10756,R4239,2.877269,-1.833,0.27,1.686,1.609
10927,R3557,5.020516,1.815,-2.742,0.653,0.066
10942,R3557,2.627308,0.082,-1.589,0.691,1.078
10967,R3557,2.885323,-0.159,-1.028,1.334,0.342
10986,R3557,2.626762,0.304,-1.588,0.288,-2.209
11028,R3557,5.453674,-0.277,-0.243,2.306,0.405
11044,R3557,5.512548,-0.034,-2.221,0.093,-2.256
11059,R3557,2.585572,1.212,-2.163,0.238,-1.51
11077,R3557,2.334869,-0.013,-1.223,-0.225,-1.682
11092,R3557,2.277685,0.376,-1.212,0.507,-1.897
11187,R3557,5.512185,0.839,-2.202,0.159,-1.499
11207,R3557,5.711838,1.514,-2.453,0.446,-0.722
11397,R3557,2.885362,0.118,-0.308,0.614,0.839
11412,R3557,2.577227,1.514,-2.453,0.446,-0.722
11432,R3557,4.803295,1.514,-2.453,0.446,-0.722
11477,R3111,2.385436,0.152,-1.607,0.939,-0.789
11500,R3111,2.585139,1.214,0.827,0.758,-0.446
11518,R3111,2.435041,1.196,0.332,0.295,0.497
11533,R3111,2.835878,0.329,-0.078,-0.248,0.209
11683,R3111,5.512164,1.143,0.97,0.79,0.204
11703,R3111,2.626861,0.142,0.406,-0.22,0.449
11722,R3111,5.203516,-1.144,0.47,-1.259,-0.172
11737,R3111,2.577309,-0.107,1.355,0.498,0.364
11789,R3111,5.403483,0.535,1.703,0.297,-0.369
11805,R3111,4.962114,0.715,0.734,0.578,-0.207
11820,R3111,2.635521,-0.049,0.73,0.404,0.477
11996,R3111,5.453836,0.13,1.215,0.404,1.534
12014,R3111,2.626869,1.186,1.802,0.833,0.307
12034,R3111,5.303692,0.83,1.904,0.794,-0.003
12123,R4236,5.261949,0.979,0.253,-1.196,0.936
12140,R4236,7.880852,-0.447,-1.082,-0.956,-1.186
12158,R4236,2.576703,0.426,0.378,-0.675,0.732
12178,R4236,5.103666,0.105,0.209,-0.795,0.46
12193,R4236,2.477114,-0.235,-0.416,-0.768,-0.585
12236,R4236,2.385006,1.27,-0.26,-0.495,-0.148
12257,R4236,2.626538,-1.151,-0.463,-1.597,1.365
12274,R4236,7.639139,-0.338,-0.173,-1.527,0.389
12384,R4236,5.053832,1.376,-0.47,-1.655,-0.201
12403,R4236,2.626784,0.136,-0.605,-1.75,0.417
12425,R4236,4.911767,-0.307,-0.886,-1.796,0.697
12440,R4236,2.777481,1.1,-1.18,-1.395,0.228
12587,R4236,2.377007,0.635,-0.112,-0.737,-0.293
12602,R4236,2.435391,-0.484,-1.145,-1.787,-0.055
12625,R4236,2.776985,0.07,-0.824,-0.598,-0.193
12646,R4236,2.4767,-0.867,-0.996,-1.355,1.481
12743,R4088,4.753171,0.725,-0.535,-0.478,-1.287
12762,R4088,2.676921,0.754,0.068,-1.721,-0.725
12777,R4088,2.685301,1.019,0.051,-1.202,0.26
12793,R4088,5.25367,-0.57,0.174,0.257,1.52
12836,R4088,2.626887,0.948,-0.292,-1.06,-0.854
12861,R4088,2.77689,-0.792,0.216,-0.02,-0.252
13039,R4088,5.1035,-0.392,-1.473,-0.773,-0.754
13066,R4088,5.203589,-0.017,-0.22,-0.372,0.98
13081,R4088,2.326594,0.352,-0.574,-0.558,-1.276
13096,R4088,2.176316,0.049,-0.755,-0.508,-1.107
13142,R4088,2.426674,0.402,-0.389,-0.497,-0.282
13158,R4088,4.703371,0.262,-1.075,-0.235,0.29
13177,R4088,5.353584,0.076,-0.34,-0.59,-1.385
13197,R4088,2.626721,0.413,-0.388,0.453,-0.186
13352,R4204,2.376576,0.018,-0.166,0.671,-0.343
13379,R4204,2.585122,-0.917,-0.44,-0.008,0.588
13399,R4204,2.426667,-0.554,-1.207,1.252,0.116
13455,R4204,2.676817,-1.97,-0.386,1.549,0.693
13473,R4204,2.626935,-0.903,-0.379,1.956,-0.877
13667,R4204,7.780253,-1.401,0.352,0.514,-2.385
13682,R4204,2.52681,-1.063,0.731,0.58,-2.472
13703,R4204,2.526636,-0.982,0.396,0.337,-1.639
13754,R4204,5.153526,-0.678,0.27,2.335,-2.139
13777,R4204,2.826986,0.337,-0.179,2.407,-1.667
13900,R4065,5.362047,1.343,-0.757,-0.33,-0.753
13927,R4065,2.62689,1.84,-1.268,-0.823,0.27
14132,R4065,5.453859,1.758,0.071,-0.09,0.491
14150,R4065,2.326544,1.919,-0.402,-0.239,-0.739
14198,R4065,2.726924,1.919,-0.402,-0.239,-0.739
14220,R4065,2.726929,0.892,-0.763,0.301,0.185
14235,R4065,2.626833,-0.111,0.108,-0.161,0.405
14398,R4065,2.576801,1.4,-0.004,-0.373,-0.412
14414,R4065,5.253652,1.601,-0.891,-0.502,-0.493
14437,R4065,2.326634,1.975,-0.852,-0.422,-0.504
14456,R4065,5.103545,0.516,-1.561,-0.424,-1.164
14553,R4131,5.003418,0.537,-0.607,-1.101,-0.478
14568,R4131,2.676796,0.967,1.387,-0.016,-0.107
14587,R4131,4.653173,-0.088,-1.019,2.601,0.915
14605,R4131,2.526816,-0.816,-0.166,-0.181,-0.308
14702,R4131,2.526885,-1.101,0.72,0.923,1.063
14717,R4131,2.526844,-0.403,-2.215,-0.513,-2.129
14736,R4131,5.153622,0.63,-1.402,0.33,-0.134
14757,R4131,2.485101,0.764,0.817,0.023,-1.154
14803,R4131,2.726928,0.015,0.076,1.235,0.941
14823,R4131,7.880322,0.402,-0.058,0.88,1.605
14841,R4131,2.676815,0.303,0.369,-0.646,1.607
14950,R4131,2.526717,1.187,-1.031,-1.15,0.368
15101,R4222,2.226625,1.505,0.126,-0.245,0.432
15120,R4222,2.726872,0.113,0.746,-0.083,0.25
15141,R4222,2.576819,0.6,1.124,-0.556,0.093
15333,R4222,8.163938,-0.415,0.282,0.058,0.598
15359,R4222,5.303747,-0.098,0.35,-0.612,0.198
15475,R4222,2.485261,-1.117,1.316,0.348,-0.966
15492,R4222,7.68037,-1.331,0.609,-0.157,-0.419
15511,R4222,4.820018,-0.987,1.329,-1.42,0.129
15554,R4222,2.2765,-1.307,1.076,-0.567,-0.007
15584,R4222,2.52682,-0.836,1.483,-0.134,-0.529
15600,R4222,5.10351,-1.56,0.388,-0.772,0.055
15767,R4165,2.62683,1.882,1.077,1.189,-0.644
15782,R4165,2.52663,1.551,0.48,0.673,-0.932
15802,R4165,5.162023,0.886,-1.381,1.702,-1.031
15859,R4165,2.626699,-0.93,0.422,-0.164,-0.631
15874,R4165,2.426689,-1.163,-0.161,-0.351,-0.523
15892,R4165,2.67678,-0.069,-0.708,0.998,0.314
15908,R4165,4.711606,-0.29,-0.509,-0.049,0.904
16012,R4165,5.303663,0.147,-0.3,0.802,-0.953
16035,R4165,2.635176,-0.612,0.397,0.712,-0.928
16221,R4165,2.276564,-0.356,-0.31,0.002,-0.764
16241,R4165,7.738596,-0.468,-1.551,-0.408,-0.434
16257,R4165,5.403809,-0.113,-0.964,0.671,-1.071
16321,R4315,2.726817,1.165,0.737,-1.23,0.2
16337,R4315,5.003346,1.272,0.262,-1.199,1.717
16358,R4315,7.730265,1.14,-1.179,0.009,1.191
16463,R4315,2.627125,0.757,0.983,-1.415,1.612
16478,R4315,2.576802,1.515,0.489,-1.164,1.411
16503,R4315,2.576841,1.682,-0.031,-1.142,1.843
