unique_ID,RNUM,counter,Task,Detail,Modality,Emotion
9460,R4007,2.52665,-0.05,0.088,2.29,-1.379
9476,R4007,5.40417,-0.236,-0.79,0.196,0.158
9516,R4007,7.539004,-1.585,0.287,0.677,-0.597
9665,R3773,2.627085,0.268,-2.511,0.3,-1.468
9685,R3773,5.061948,-0.605,-2.337,0.602,-0.755
9700,R3773,2.427112,-0.054,-1.855,0.029,-1.093
9720,R3773,4.853363,-0.781,-2.005,1.304,-1.619
9826,R3773,2.626757,-0.913,-1.953,0.033,-1.376
9848,R3773,2.426666,0.05,-1.704,0.933,-1.639
10038,R3773,2.484955,-1.922,-0.204,0.81,0.497
10053,R3773,2.685594,-1.718,-0.723,1.358,-0.056
10080,R3773,7.396816,-0.8,-1.367,2.255,-0.186
10175,R3773,2.735174,-0.862,-2.488,1.763,1.202
10197,R3773,2.535184,-0.853,0.925,2.154,-0.15
10212,R3773,2.627323,-1.491,0.774,2.167,0.064
10230,R3773,2.526716,-0.258,-2.098,0.411,-1.006
10350,R4239,2.776801,-1.755,-0.664,1.541,0.638
10375,R4239,5.311921,-1.489,-0.006,0.366,0.906
10421,R4239,5.154004,0.642,0.448,0.176,-0.891
10442,R4239,2.326549,1.067,0.688,-0.265,-0.478
10465,R4239,2.585112,-2.264,-0.835,-0.342,0.885
10571,R4239,2.527296,1.996,2.001,0.506,-0.814
10589,R4239,2.226417,0.27,-1.945,-0.151,1.547
10614,R4239,2.6768,-0.373,0.877,0.593,1.629
10795,R4239,4.719856,-1.274,-0.6,0.601,1.505
10820,R4239,2.526261,-1.476,-0.393,1.869,2.001
10835,R4239,2.535342,-2.169,-0.972,2.123,2.087
10873,R3557,2.577282,1.514,-2.453,0.446,-0.722
10889,R3557,5.16208,1.212,-2.163,0.238,-1.51
11110,R3557,5.204162,0.521,-0.4,0.899,-1.754
11232,R3557,7.488421,-0.274,-1.8,1.26,0.223
11251,R3557,5.312002,-0.132,-1.706,0.36,0.321
11266,R3557,2.527015,1.212,-2.163,0.238,-1.51
11288,R3557,2.726859,-0.737,-0.974,2.381,-0.031
11327,R3557,5.062181,0.268,-2.511,0.3,-1.468
11346,R3557,5.020107,0.034,-0.362,-0.395,-0.966
11364,R3557,2.776897,1.212,-2.163,0.238,-1.51
11555,R3111,4.803339,0.797,0.513,1.088,0.124
11579,R3111,2.626822,-0.219,-0.67,1.348,0.398
11645,R3111,2.276522,-0.664,-0.505,0.819,1.682
11661,R3111,5.012149,0.706,0.804,0.725,2.322
11842,R3111,5.312337,0.395,1.217,1.038,-0.78
11865,R3111,4.911693,0.433,0.216,-0.155,0.807
11891,R3111,2.935364,-0.871,-1.007,-0.7,0.545
11943,R3111,2.42669,-1.079,0.24,1.29,-0.283
11959,R3111,5.003968,0.193,1.577,-0.451,0.501
11974,R3111,2.777316,0.839,0.237,1.027,1.616
12101,R4236,2.726848,0.012,-0.432,-0.233,-1.099
12298,R4236,4.803251,-0.131,-1.234,-0.253,-0.224
12321,R4236,7.797127,-0.305,-1.382,-0.07,-1.251
12338,R4236,7.88916,-1.518,-1.346,-1.354,0.076
12464,R4236,2.585211,-1.095,-0.904,-0.882,2.005
12487,R4236,2.426638,-0.506,-0.523,-1.282,1.096
12545,R4236,5.320359,-1.404,-0.659,-1.859,0.081
12561,R4236,5.304042,-0.88,-0.505,-0.855,-0.769
12695,R4088,2.626792,0.123,-1.002,0.264,-1.043
12710,R4088,2.626816,-0.639,-1.286,-0.186,0.376
12887,R4088,2.927047,-1.861,0.045,-0.842,-0.192
12909,R4088,2.368576,-0.39,-0.57,1.262,0.472
12924,R4088,2.877062,-0.08,-1.385,0.003,-1.328
12940,R4088,4.961742,0.624,-1.291,-0.866,-0.437
13000,R4088,5.503761,-0.7,0,-0.599,-0.473
13021,R4088,2.635223,-0.141,-0.297,0.18,0.599
13216,R4088,5.253593,0.374,-0.675,0.144,-0.713
13251,R4088,2.526719,-1.169,-0.448,0.346,0.833
13293,R4204,5.603864,-1.043,0.277,-0.833,0.412
13310,R4204,7.780422,-0.828,-1.046,0.179,0.228
13328,R4204,2.676814,-0.521,0.218,0.406,-0.148
13490,R4204,2.726865,-1.218,0.573,1.291,-0.951
13505,R4204,2.626923,-1.879,-0.187,2.317,-0.534
13520,R4204,2.476611,-1.339,-1.325,1.705,-0.688
13546,R4204,8.180686,-1.072,-1.488,1.249,-0.075
13592,R4204,5.103357,-0.71,-0.494,1.151,-0.305
13612,R4204,8.08903,-0.887,-0.265,1.4,-0.139
13637,R4204,2.676765,-1.603,1.064,1.999,1.387
13794,R4204,2.585084,-0.124,0.822,0.091,-0.514
13810,R4204,5.103426,-2.584,0.663,-1.126,-2.001
13825,R4204,2.885456,-1.993,1.546,0.325,-2.054
13843,R4204,2.276575,-0.387,1.409,1.219,-1.573
13944,R4065,2.777019,0.695,-1.237,-0.326,-1.115
13968,R4065,7.238241,-0.356,-1.257,-0.565,0.026
13987,R4065,2.4767,-0.306,-1.615,-0.324,0.932
14002,R4065,2.726908,-0.186,-2.205,-0.497,1.536
14044,R4065,2.376638,-0.231,-1.666,1.032,-0.808
14063,R4065,5.153591,0.328,-0.651,-0.245,0.158
14083,R4065,5.462171,-0.687,-0.52,0.936,-0.109
14102,R4065,5.153563,-0.142,-0.577,-0.774,2.363
14264,R4065,7.83039,-0.363,-0.204,-0.173,-0.302
14293,R4065,2.626758,-1.625,-0.819,-0.64,0.214
14308,R4065,2.526785,-0.79,-1.484,-0.294,-1.603
14357,R4065,5.153431,-0.92,0.018,-0.034,0.301
14376,R4065,4.861713,-0.484,-1.603,-0.395,-0.629
14504,R4131,2.676949,-0.152,-0.509,1.33,-0.119
14524,R4131,8.230739,1.291,-0.118,0.874,0.162
14661,R4131,2.326534,-1.694,-0.185,0.238,1.459
14676,R4131,2.726841,0.206,-0.699,1.727,0.762
14862,R4131,5.312026,-0.036,-0.548,1.343,1.365
14882,R4131,2.576804,-0.922,-1.397,0.55,1.348
14904,R4131,4.969796,-1.123,0.058,0.98,2.229
14992,R4131,7.780339,-0.087,1.275,-0.243,-0.278
15010,R4131,2.677017,-1.507,-0.076,0.176,0.768
15025,R4131,2.426542,-0.409,0.791,1.046,-1.173
15044,R4131,5.203565,-0.925,0.142,0.575,2.337
15060,R4131,5.153467,-1.179,0.181,0.551,0.611
15172,R4222,2.476704,-0.099,-0.04,0.879,1.61
15189,R4222,7.688682,0.49,-0.335,0.409,0.034
15204,R4222,2.77695,1.195,0.7,-0.29,0.247
15260,R4222,2.576805,-0.067,-0.266,1.138,0.464
15279,R4222,2.635168,0.435,0.586,0.307,-0.145
15295,R4222,4.861785,-0.25,0.661,0.315,0.375
15310,R4222,2.776972,-0.608,-0.16,0.091,-0.879
15405,R4222,7.580087,-0.898,1.211,-1.256,-0.934
15424,R4222,2.676822,-0.651,0.61,-0.269,-0.551
15448,R4222,2.826972,-0.679,0.566,-0.214,-0.526
15633,R4222,2.726932,-1.025,1.174,0.178,-0.715
15649,R4222,4.86175,-1.241,1.25,-0.274,-0.002
15667,R4222,2.826896,-0.922,0.902,-0.23,-0.317
15711,R4165,2.877056,0.398,-0.097,1.175,-0.96
15735,R4165,8.289109,-0.255,-0.156,-0.686,0.493
15750,R4165,2.785362,-0.672,-0.534,0.112,-0.51
15935,R4165,7.580125,-1.023,-0.649,0.525,0.511
15961,R4165,2.526748,-0.97,-0.837,-0.637,-0.469
16060,R4165,5.412163,-0.478,-0.278,-0.196,-1.438
16075,R4165,2.176411,-0.439,-0.905,0.889,-0.045
16100,R4165,3.402791,-1.056,-0.858,0.806,1.045
16119,R4165,5.462087,-0.808,-0.41,0.27,-0.306
16170,R4165,2.376716,0.295,-0.823,0.203,0.086
16186,R4165,5.41218,0.025,-1.015,0.372,-0.126
16201,R4165,2.626741,-0.377,-1.326,0.198,0.18
16390,R4315,2.876998,0.134,-0.036,-1.125,-0.309
16405,R4315,2.476632,-0.509,-0.536,-0.373,0.06
16421,R4315,5.871227,0.16,0.157,-1.343,1.323
16533,R4315,5.453797,0.749,0.467,-1.189,-0.802
16549,R4315,5.553872,-0.045,-0.15,-0.422,0.651
16567,R4315,2.526698,0.295,0.318,-1.321,0.993
16616,R4315,2.894132,1.553,-0.916,0.09,1.339
16637,R4315,2.226591,0.691,0.506,0.341,1.966
16653,R4315,4.953479,0.62,2.065,-1.278,0.18
16767,R4315,2.676766,-2.791,0.669,-0.673,-1.183
16785,R4315,2.526639,-0.252,0.462,-0.611,0.611
16804,R4315,5.011872,-1.013,0.61,-0.396,-0.224
16986,R3380,2.626935,0.175,0.366,0.146,0.328
17004,R3380,2.776943,1.114,-0.094,-0.806,0.578
17019,R3380,2.585165,0.948,0.451,-1.082,-0.737
17114,R3380,2.701892,0.302,0.691,-1.72,-0.719
17129,R3380,2.610073,0.578,0.457,-1.688,-0.61
17151,R3380,7.129916,-0.107,-0.45,0.495,0.877
17166,R3380,2.626905,-0.586,0.774,-1.495,-1.191
17215,R3380,2.626928,-0.847,0.038,0.226,-0.715
17238,R3380,2.576735,-0.419,-0.179,-0.195,0.157
17253,R3380,2.476733,0.176,1.012,-0.364,-0.824
17370,R3380,4.753309,0.299,0.27,-0.813,0.624
17393,R3380,2.426557,0.079,-0.144,0.277,0.624
17411,R3380,2.52674,-0.652,-0.331,0.552,-0.628
17556,R3385,2.476659,2.001,-0.024,2.385,-1.112
17571,R3385,2.485026,1.98,0.183,2.377,-1.158
17587,R3385,5.503837,0.926,-0.001,2.143,-1.11
17610,R3385,2.77691,0.476,-0.333,2.11,-0.058
17626,R3385,4.87008,1.833,-0.223,2.582,-1.297
17737,R3385,2.58514,0.904,-0.847,1.821,-0.713
17755,R3385,2.877007,-0.05,-0.108,2.201,1.39
17777,R3385,2.576865,-1.001,0.287,-0.506,-1.082
17819,R3385,2.735159,1.373,0.048,2.182,-1.168
17834,R3385,2.726882,-0.621,-0.48,2.065,1.343
17851,R3385,7.480207,-1.22,0.178,1.938,0.185
17878,R3385,7.580226,-0.863,-0.333,1.574,-1.141
17986,R3385,2.676838,-0.653,-0.426,2.116,-0.701
18001,R3385,2.726973,1.336,-0.205,2.334,-1.28
18016,R3385,2.876991,-0.159,-0.825,1.916,-0.188
18122,R4505,5.399485,0.898,-0.538,1.229,-0.947
18145,R4505,5.399788,-0.519,-0.11,-0.162,-0.677
18160,R4505,2.674714,0.346,-1.153,1.605,-1.205
18180,R4505,2.274607,-0.064,0.36,0.691,-1.44
18347,R4505,2.425019,0.566,0.103,-0.843,-0.272
18363,R4505,4.749849,0.683,-0.312,0.384,-0.469
18382,R4505,5.350122,0.993,-0.69,1.271,-1.362
18464,R4505,5.249811,1.454,-1.066,0.29,-0.228
18479,R4505,2.724849,1.104,-1.192,0.54,-0.264
18494,R4505,2.424937,0.989,-1.182,0.032,-1.037
18509,R4505,2.474818,0.654,-0.543,0.71,-1.496
18527,R4505,2.174717,0.151,-1.713,-0.356,-1.297
18580,R4505,7.72465,0.348,0.024,-0.488,-1.215
18603,R4505,5.150099,0.942,-1.576,0.141,0.146
18619,R4505,5.000162,1.319,-1.045,0.756,-0.3
18735,R4482,5.050137,1.181,0.897,1.307,0.583
18759,R4482,2.475256,-1.823,0.576,-0.623,-2.633
18918,R4482,5.149721,-1.025,0.649,-0.292,1.304
18933,R4482,2.475038,0.094,0.447,0.468,0.136
18949,R4482,5.249748,-0.27,1.067,0.183,-2.113
18967,R4482,2.575106,-0.76,0.619,0.767,-1.73
18985,R4482,2.524865,0.596,0.122,0.367,0.4
19034,R4482,2.574757,0.031,1.548,-0.365,-1.027
19052,R4482,2.724864,-0.952,1.027,-0.738,-1.527
19068,R4482,4.799474,-1.158,1.066,-0.479,0.772
19243,R4482,7.525052,-1.152,1.698,-0.529,-1.123
19258,R4482,2.675242,-2.054,1.503,0.224,-0.723
19277,R4482,2.724912,-2.262,1.809,-0.572,-0.805
19337,R4507,2.424817,-1.071,-0.007,0.342,-0.441
19362,R4507,2.524927,1.131,0.481,1.563,-1.305
19573,R4507,2.524939,-2.454,0.132,0.274,-0.378
19588,R4507,2.775075,-1.881,-0.169,1.395,-1.588
19632,R4507,5.049596,-0.946,-0.142,-0.597,0.616
19651,R4507,5.34975,-0.97,-0.057,-0.718,0.622
19678,R4507,4.800155,-0.709,0.884,0.668,-0.846
19826,R4507,5.299893,-1.214,0.643,-0.289,-0.313
19845,R4507,4.949555,-0.589,-0.425,-0.43,1.857
19860,R4507,2.625257,-0.465,0.926,0.263,-0.633
19880,R4507,7.424499,-1.828,0.578,0.672,-0.074
19895,R4507,2.324759,-0.837,-0.42,-0.367,0.942
19941,R4508,2.72479,0.465,1.602,0.919,1.139
19965,R4508,5.199716,0.829,1.966,0.506,-0.54
