unique_ID,IDNO,RNUM,RUN,stimType,mwType,nBack,keyResp,fixT,stimT,stimPic,Ans,fixStart_offset,stimStart_offset,Correct
570,1,R3262,R4,NT,NT,0,None,1.55,1,Stimuli/0B_N_square_triangle.png,None,507.727972,510.296616,True
571,1,R3262,R4,NT,NT,0,None,1.65,1,Stimuli/0B_N_circle_square.png,None,510.304745,512.981752,True
572,1,R3262,R4,TT,TT,0,left,1.4,2.25,Stimuli/0B_T_L_circle_triangle.png,left,512.989928,514.407595,True
573,1,R3262,R4,NT,NT,0,None,1.45,1.15,Stimuli/0B_N_triangle_circle.png,None,516.675865,519.302923,True
574,1,R3262,R4,NT,NT,0,None,1.65,0.9,Stimuli/0B_N_square_circle.png,None,519.311029,521.888004,True
575,1,R3262,R4,TT,TT,0,left,1.55,2.3,Stimuli/0B_T_L_square_triangle.png,left,521.896134,523.47223,True
576,1,R3262,R4,NT,NT,0,None,1.7,1.2,Stimuli/0B_N_circle_square.png,None,525.790471,528.717806,True
577,1,R3262,R4,NT,NT,0,None,1.7,0.95,Stimuli/0B_N_square_triangle.png,None,528.725887,531.394574,True
578,1,R3262,R4,NT,NT,0,None,1.45,1.15,Stimuli/0B_N_triangle_square.png,None,531.402706,534.029785,True
579,1,R3262,R4,TT,TT,0,right,1.7,2.5,Stimuli/0B_T_R_circle_triangle.png,right,534.037877,535.764085,True
580,1,R3262,R4,NT,NT,0,None,1.35,1.05,Stimuli/0B_N_square_circle.png,None,538.282434,540.701052,True
581,1,R3262,R4,NT,NT,0,None,1.6,1,Stimuli/0B_N_square_triangle.png,None,540.709117,543.327877,True
666,2,R3678,R1,NT,NT,0,None,1.65,1.1,Stimuli/0B_N_square_triangle.png,None,264.783746,267.560438,True
667,2,R3678,R1,NT,NT,0,None,1.3,0.85,Stimuli/0B_N_circle_square.png,None,267.56899,269.737297,True
668,2,R3678,R1,TT,TT,0,right,1.45,2.2,Stimuli/0B_T_R_triangle_square.png,right,269.745383,271.221481,True
669,2,R3678,R1,NT,NT,0,None,1.65,1,Stimuli/0B_N_circle_triangle.png,None,273.439728,276.116756,True
670,2,R3678,R1,NT,NT,0,None,1.7,1.2,Stimuli/0B_N_circle_triangle.png,None,276.124911,279.043858,True
684,2,R3678,R1,NT,NT,0,None,1.45,0.85,Stimuli/0B_N_circle_square.png,None,345.689741,348.016103,True
685,2,R3678,R1,NT,NT,0,None,1.5,1.1,Stimuli/0B_N_circle_square.png,None,348.024693,350.643316,True
686,2,R3678,R1,NT,NT,0,None,1.55,1.05,Stimuli/0B_N_circle_triangle.png,None,350.651555,353.270203,True
687,2,R3678,R1,NT,NT,0,None,1.4,1.1,Stimuli/0B_N_circle_square.png,None,353.278354,355.796998,True
701,2,R3678,R1,NT,NT,0,None,1.65,1.2,Stimuli/0B_N_triangle_square.png,None,422.376119,425.253065,True
702,2,R3678,R1,NT,NT,0,None,1.3,1.15,Stimuli/0B_N_square_circle.png,None,425.261542,427.730169,True
703,2,R3678,R1,NT,NT,0,None,1.45,0.85,Stimuli/0B_N_triangle_circle.png,None,427.738244,430.056679,True
717,2,R3678,R1,NT,NT,0,None,1.65,0.85,Stimuli/0B_N_triangle_square.png,None,496.544223,499.0707,True
718,2,R3678,R1,NT,NT,0,None,1.5,0.95,Stimuli/0B_N_triangle_square.png,None,499.079298,501.547879,True
719,2,R3678,R1,TT,TT,0,left,1.7,2.45,Stimuli/0B_T_L_triangle_circle.png,left,501.556014,503.282225,True
720,2,R3678,R1,NT,NT,0,None,1.65,1,Stimuli/0B_N_circle_square.png,None,505.750611,508.41927,True
721,2,R3678,R1,NT,NT,0,None,1.35,1.15,Stimuli/0B_N_square_triangle.png,None,508.427457,510.946127,True
722,2,R3678,R1,NT,NT,0,None,1.6,1.05,Stimuli/0B_N_circle_square.png,None,510.954211,513.631256,True
723,2,R3678,R1,TT,TT,0,left,1.6,2.3,Stimuli/0B_T_L_square_triangle.png,left,513.639422,515.265445,True
724,2,R3678,R1,NT,NT,0,None,1.55,0.85,Stimuli/0B_N_circle_triangle.png,None,517.583824,520.002315,True
725,2,R3678,R1,NT,NT,0,None,1.4,0.8,Stimuli/0B_N_square_triangle.png,None,520.010457,522.23716,True
726,2,R3678,R1,NT,NT,0,None,1.6,1.2,Stimuli/0B_N_circle_square.png,None,522.245341,525.064258,True
727,2,R3678,R1,NT,NT,0,None,1.6,0.85,Stimuli/0B_N_square_circle.png,None,525.072318,527.549123,True
728,2,R3678,R1,TT,TT,0,right,1.4,2.5,Stimuli/0B_T_R_triangle_circle.png,right,527.557322,528.98337,True
729,2,R3678,R1,NT,NT,0,None,1.35,1.15,Stimuli/0B_N_circle_square.png,None,531.501743,534.020344,True
730,2,R3678,R1,NT,NT,0,None,1.3,1.05,Stimuli/0B_N_circle_square.png,None,534.028521,536.397026,True
731,2,R3678,R1,TT,TT,0,right,1.7,2.4,Stimuli/0B_T_R_circle_square.png,right,536.40515,538.12303,True
732,2,R3678,R1,NT,NT,0,None,1.35,1.2,Stimuli/0B_N_circle_triangle.png,None,540.54137,543.110055,True
755,2,R3678,R2,NT,NT,0,None,1.7,1.2,Stimuli/0B_N_square_circle.png,None,0,2.927229,True
756,2,R3678,R2,NT,NT,0,None,1.5,0.95,Stimuli/0B_N_square_circle.png,None,2.935712,5.404251,True
757,2,R3678,R2,NT,NT,0,None,1.55,1,Stimuli/0B_N_triangle_circle.png,None,5.412395,7.98107,True
771,2,R3678,R2,NT,NT,0,None,1.35,1.1,Stimuli/0B_N_circle_triangle.png,None,74.27669,76.753313,True
772,2,R3678,R2,NT,NT,0,None,1.3,1.15,Stimuli/0B_N_triangle_square.png,None,76.761791,79.230441,True
773,2,R3678,R2,NT,NT,0,None,1.65,1.1,Stimuli/0B_N_square_triangle.png,None,79.238467,82.007347,True
774,2,R3678,R2,TT,TT,0,left,1.65,2.45,Stimuli/0B_T_L_square_triangle.png,left,82.015398,83.683286,True
775,2,R3678,R2,NT,NT,0,None,1.5,1.1,Stimuli/0B_N_triangle_square.png,None,86.151642,88.769981,True
776,2,R3678,R2,NT,NT,0,None,1.3,0.85,Stimuli/0B_N_triangle_circle.png,None,88.778097,90.946778,True
790,2,R3678,R2,NT,NT,0,None,1.65,1.1,Stimuli/0B_N_circle_triangle.png,None,157.334164,160.111025,True
791,2,R3678,R2,NT,NT,0,None,1.45,0.85,Stimuli/0B_N_circle_square.png,None,160.119552,162.437874,True
792,2,R3678,R2,NT,NT,0,None,1.35,1.05,Stimuli/0B_N_triangle_circle.png,None,162.446112,164.864658,True
793,2,R3678,R2,TT,TT,0,left,1.65,2.4,Stimuli/0B_T_L_circle_triangle.png,left,164.872807,166.548958,True
794,2,R3678,R2,NT,NT,0,None,1.35,0.95,Stimuli/0B_N_square_circle.png,None,168.967362,171.29418,True
795,2,R3678,R2,NT,NT,0,None,1.35,1.1,Stimuli/0B_N_square_triangle.png,None,171.302243,173.770864,True
796,2,R3678,R2,TT,TT,0,left,1.65,2.5,Stimuli/0B_T_L_square_triangle.png,left,173.778932,175.446797,True
797,2,R3678,R2,NT,NT,0,None,1.45,1.1,Stimuli/0B_N_square_triangle.png,None,177.965214,180.53391,True
798,2,R3678,R2,NT,NT,0,None,1.5,0.85,Stimuli/0B_N_square_circle.png,None,180.542005,182.918807,True
799,2,R3678,R2,NT,NT,0,None,1.3,1.15,Stimuli/0B_N_triangle_square.png,None,182.926967,185.403915,True
800,2,R3678,R2,NT,NT,0,None,1.4,1.05,Stimuli/0B_N_triangle_circle.png,None,185.412053,187.880618,True
814,2,R3678,R2,NT,NT,0,None,1.55,1.15,Stimuli/0B_N_triangle_circle.png,None,254.21793,256.944712,True
815,2,R3678,R2,NT,NT,0,None,1.7,0.85,Stimuli/0B_N_triangle_square.png,None,256.953215,259.530211,True
816,2,R3678,R2,NT,NT,0,None,1.65,1.2,Stimuli/0B_N_circle_square.png,None,259.538329,262.407204,True
817,2,R3678,R2,NT,NT,0,None,1.4,1.15,Stimuli/0B_N_circle_triangle.png,None,262.415341,264.983994,True
818,2,R3678,R2,TT,TT,0,left,1.35,2.35,Stimuli/0B_T_L_square_triangle.png,left,264.992116,266.359695,True
819,2,R3678,R2,NT,NT,0,None,1.45,1.15,Stimuli/0B_N_circle_triangle.png,None,268.728065,271.355137,True
956,2,R3678,R3,NT,NT,0,None,1.7,1.15,Stimuli/0B_N_triangle_square.png,None,202.632294,205.509076,True
957,2,R3678,R3,NT,NT,0,None,1.3,0.9,Stimuli/0B_N_circle_triangle.png,None,205.517614,207.744337,True
958,2,R3678,R3,NT,NT,0,None,1.7,1,Stimuli/0B_N_circle_square.png,None,207.752489,210.471223,True
972,2,R3678,R3,NT,NT,0,None,1.65,1,Stimuli/0B_N_triangle_circle.png,None,276.766944,279.443566,True
973,2,R3678,R3,NT,NT,0,None,1.7,0.85,Stimuli/0B_N_square_circle.png,None,279.452127,282.029127,True
974,2,R3678,R3,TT,TT,0,right,1.7,2.4,Stimuli/0B_T_R_triangle_circle.png,right,282.037252,283.763462,True
975,2,R3678,R3,NT,NT,0,None,1.45,0.95,Stimuli/0B_N_square_triangle.png,None,286.181797,288.608659,True
976,2,R3678,R3,NT,NT,0,None,1.7,1.1,Stimuli/0B_N_triangle_square.png,None,288.616796,291.435637,True
977,2,R3678,R3,TT,TT,0,left,1.65,2.1,Stimuli/0B_T_L_square_circle.png,left,291.443761,293.111571,True
978,2,R3678,R3,NT,NT,0,None,1.7,1.15,Stimuli/0B_N_triangle_square.png,None,295.229761,298.106957,True
979,2,R3678,R3,NT,NT,0,None,1.3,1.15,Stimuli/0B_N_circle_square.png,None,298.115065,300.583705,True
993,2,R3678,R3,NT,NT,0,None,1.65,1.2,Stimuli/0B_N_triangle_square.png,None,367.271268,370.148149,True
994,2,R3678,R3,NT,NT,0,None,1.45,0.8,Stimuli/0B_N_triangle_circle.png,None,370.156601,372.424831,True
995,2,R3678,R3,NT,NT,0,None,1.45,0.9,Stimuli/0B_N_circle_triangle.png,None,372.433169,374.810026,True
996,2,R3678,R3,NT,NT,0,None,1.7,0.9,Stimuli/0B_N_triangle_square.png,None,374.818165,377.445192,True
997,2,R3678,R3,TT,TT,0,right,1.3,2.25,Stimuli/0B_T_R_square_circle.png,right,377.453282,378.779249,True
998,2,R3678,R3,NT,NT,0,None,1.5,0.9,Stimuli/0B_N_square_circle.png,None,381.047491,383.474179,True
999,2,R3678,R3,NT,NT,0,None,1.35,1.1,Stimuli/0B_N_circle_triangle.png,None,383.482407,385.951123,True
1000,2,R3678,R3,NT,NT,0,None,1.6,1.1,Stimuli/0B_N_circle_square.png,None,385.95921,388.686329,True
1001,2,R3678,R3,TT,TT,0,left,1.45,2.3,Stimuli/0B_T_L_square_circle.png,left,388.694462,390.162096,True
1002,2,R3678,R3,NT,NT,0,None,1.65,1.1,Stimuli/0B_N_triangle_square.png,None,392.480419,395.257563,True
1003,2,R3678,R3,NT,NT,0,None,1.4,0.85,Stimuli/0B_N_triangle_circle.png,None,395.265667,397.542383,True
1004,2,R3678,R3,NT,NT,0,None,1.5,0.9,Stimuli/0B_N_triangle_square.png,None,397.550548,399.969093,True
1018,2,R3678,R3,NT,NT,0,None,1.3,1,Stimuli/0B_N_triangle_circle.png,None,466.548341,468.874743,True
1019,2,R3678,R3,NT,NT,0,None,1.35,1,Stimuli/0B_N_triangle_square.png,None,468.883315,471.25182,True
1033,2,R3678,R3,NT,NT,0,None,1.7,1.05,Stimuli/0B_N_square_triangle.png,None,537.839357,540.616109,True
1034,2,R3678,R3,NT,NT,0,None,1.3,1.15,Stimuli/0B_N_triangle_circle.png,None,540.624642,543.093226,True
1057,2,R3678,R4,NT,NT,0,None,1.6,0.85,Stimuli/0B_N_circle_triangle.png,None,0,2.47681,True
1058,2,R3678,R4,NT,NT,0,None,1.65,1,Stimuli/0B_N_triangle_circle.png,None,2.485366,5.154124,True
1059,2,R3678,R4,NT,NT,0,None,1.7,0.9,Stimuli/0B_N_triangle_square.png,None,5.162235,7.780882,True
1060,2,R3678,R4,NT,NT,0,None,1.35,1.05,Stimuli/0B_N_circle_square.png,None,7.789003,10.207594,True
1061,2,R3678,R4,TT,TT,0,left,1.6,2.15,Stimuli/0B_T_L_square_triangle.png,left,10.215801,11.833452,True
1062,2,R3678,R4,NT,NT,0,None,1.35,1.2,Stimuli/0B_N_triangle_square.png,None,14.001647,16.57042,True
1063,2,R3678,R4,NT,NT,0,None,1.55,1.15,Stimuli/0B_N_triangle_circle.png,None,16.578502,19.305574,True
1064,2,R3678,R4,NT,NT,0,None,1.65,1.1,Stimuli/0B_N_circle_square.png,None,19.313633,22.090845,True
1065,2,R3678,R4,NT,NT,0,None,1.65,0.8,Stimuli/0B_N_circle_square.png,None,22.098963,24.575837,True
1066,2,R3678,R4,TT,TT,0,left,1.7,2.25,Stimuli/0B_T_L_square_triangle.png,left,24.584,26.3102,True
