unique_ID,IDNO,RNUM,RUN,stimType,mwType,nBack,keyResp,fixStart_offset,stimStart_offset,counter,Task_PC,Detail_PC,Modality_PC,Emotion_PC
667,2,R3678,R1,NT,NT,0,None,267.56899,269.737297,2.176859,,,,
668,2,R3678,R1,TT,TT,0,right,269.745383,271.221481,3.661043,,,,
669,2,R3678,R1,NT,NT,0,None,273.439728,276.116756,0,,,,
670,2,R3678,R1,NT,NT,0,None,276.124911,279.043858,2.927102,,,,
671,2,R3678,R1,MWQ,Focus,0,4,279.051943,280.72813,,1.996,2.001,0.506,-0.814
684,2,R3678,R1,NT,NT,0,None,345.689741,348.016103,0,,,,
685,2,R3678,R1,NT,NT,0,None,348.024693,350.643316,2.627213,,,,
686,2,R3678,R1,NT,NT,0,None,350.651555,353.270203,5.2541,,,,
687,2,R3678,R1,NT,NT,0,None,353.278354,355.796998,7.780895,,,,
688,2,R3678,R1,MWQ,Focus,0,2,355.805099,357.422886,,-0.755,0.119,1.145,-1.953
701,2,R3678,R1,NT,NT,0,None,422.376119,425.253065,0,,,,
702,2,R3678,R1,NT,NT,0,None,425.261542,427.730169,2.477104,,,,
703,2,R3678,R1,NT,NT,0,None,427.738244,430.056679,4.803614,,,,
704,2,R3678,R1,MWQ,Focus,0,2,430.064839,431.582591,,-1.013,0.639,1.287,-0.182
717,2,R3678,R1,NT,NT,0,None,496.544223,499.0707,0,,,,
718,2,R3678,R1,NT,NT,0,None,499.079298,501.547879,2.477179,,,,
719,2,R3678,R1,TT,TT,0,left,501.556014,503.282225,4.211525,,,,
720,2,R3678,R1,NT,NT,0,None,505.750611,508.41927,0,,,,
721,2,R3678,R1,NT,NT,0,None,508.427457,510.946127,2.526857,,,,
722,2,R3678,R1,NT,NT,0,None,510.954211,513.631256,5.211986,,,,
723,2,R3678,R1,TT,TT,0,left,513.639422,515.265445,6.846175,,,,
724,2,R3678,R1,NT,NT,0,None,517.583824,520.002315,0,,,,
725,2,R3678,R1,NT,NT,0,None,520.010457,522.23716,2.234845,,,,
726,2,R3678,R1,NT,NT,0,None,522.245341,525.064258,5.061943,,,,
727,2,R3678,R1,NT,NT,0,None,525.072318,527.549123,7.546808,,,,
728,2,R3678,R1,TT,TT,0,right,527.557322,528.98337,8.981055,,,,
729,2,R3678,R1,NT,NT,0,None,531.501743,534.020344,0,,,,
730,2,R3678,R1,NT,NT,0,None,534.028521,536.397026,2.376682,,,,
731,2,R3678,R1,TT,TT,0,right,536.40515,538.12303,4.102686,,,,
732,2,R3678,R1,NT,NT,0,None,540.54137,543.110055,0,,,,
755,2,R3678,R2,NT,NT,0,None,0,2.927229,0,,,,
756,2,R3678,R2,NT,NT,0,None,2.935712,5.404251,2.477022,,,,
757,2,R3678,R2,NT,NT,0,None,5.412395,7.98107,5.053841,,,,
758,2,R3678,R2,MWQ,Focus,0,3,7.989215,9.314784,,-0.019,0.579,2.663,0.327
771,2,R3678,R2,NT,NT,0,None,74.27669,76.753313,0,,,,
772,2,R3678,R2,NT,NT,0,None,76.761791,79.230441,2.477128,,,,
773,2,R3678,R2,NT,NT,0,None,79.238467,82.007347,5.254034,,,,
774,2,R3678,R2,TT,TT,0,left,82.015398,83.683286,6.929973,,,,
775,2,R3678,R2,NT,NT,0,None,86.151642,88.769981,0,,,,
776,2,R3678,R2,NT,NT,0,None,88.778097,90.946778,2.176797,,,,
777,2,R3678,R2,MWQ,Focus,0,3,90.954964,92.372631,,0.262,0.074,2.181,0.736
790,2,R3678,R2,NT,NT,0,None,157.334164,160.111025,0,,,,
791,2,R3678,R2,NT,NT,0,None,160.119552,162.437874,2.326849,,,,
792,2,R3678,R2,NT,NT,0,None,162.446112,164.864658,4.753633,,,,
793,2,R3678,R2,TT,TT,0,left,164.872807,166.548958,6.437933,,,,
794,2,R3678,R2,NT,NT,0,None,168.967362,171.29418,0,,,,
795,2,R3678,R2,NT,NT,0,None,171.302243,173.770864,2.476684,,,,
796,2,R3678,R2,TT,TT,0,left,173.778932,175.446797,4.152617,,,,
797,2,R3678,R2,NT,NT,0,None,177.965214,180.53391,0,,,,
798,2,R3678,R2,NT,NT,0,None,180.542005,182.918807,2.384897,,,,
799,2,R3678,R2,NT,NT,0,None,182.926967,185.403915,4.870005,,,,
800,2,R3678,R2,NT,NT,0,None,185.412053,187.880618,7.346708,,,,
801,2,R3678,R2,MWQ,Focus,0,2,187.888749,189.256361,,-0.717,0.918,2.057,1.175
814,2,R3678,R2,NT,NT,0,None,254.21793,256.944712,0,,,,
815,2,R3678,R2,NT,NT,0,None,256.953215,259.530211,2.585499,,,,
816,2,R3678,R2,NT,NT,0,None,259.538329,262.407204,5.462492,,,,
817,2,R3678,R2,NT,NT,0,None,262.415341,264.983994,8.039282,,,,
818,2,R3678,R2,TT,TT,0,left,264.992116,266.359695,9.414983,,,,
819,2,R3678,R2,NT,NT,0,None,268.728065,271.355137,0,,,,
956,2,R3678,R3,NT,NT,0,None,202.632294,205.509076,0,,,,
957,2,R3678,R3,NT,NT,0,None,205.517614,207.744337,2.235261,,,,
958,2,R3678,R3,NT,NT,0,None,207.752489,210.471223,4.962147,,,,
959,2,R3678,R3,MWQ,Focus,0,4,210.479381,211.805262,,1.093,1.661,-1.813,0.434
972,2,R3678,R3,NT,NT,0,None,276.766944,279.443566,0,,,,
973,2,R3678,R3,NT,NT,0,None,279.452127,282.029127,2.585561,,,,
974,2,R3678,R3,TT,TT,0,right,282.037252,283.763462,4.319896,,,,
975,2,R3678,R3,NT,NT,0,None,286.181797,288.608659,0,,,,
976,2,R3678,R3,NT,NT,0,None,288.616796,291.435637,2.826978,,,,
977,2,R3678,R3,TT,TT,0,left,291.443761,293.111571,4.502912,,,,
978,2,R3678,R3,NT,NT,0,None,295.229761,298.106957,0,,,,
979,2,R3678,R3,NT,NT,0,None,298.115065,300.583705,2.476748,,,,
980,2,R3678,R3,MWQ,Focus,0,2,300.59179,302.309652,,-0.86,-0.813,-1.465,0.212
993,2,R3678,R3,NT,NT,0,None,367.271268,370.148149,0,,,,
994,2,R3678,R3,NT,NT,0,None,370.156601,372.424831,2.276682,,,,
995,2,R3678,R3,NT,NT,0,None,372.433169,374.810026,4.661877,,,,
996,2,R3678,R3,NT,NT,0,None,374.818165,377.445192,7.297043,,,,
997,2,R3678,R3,TT,TT,0,right,377.453282,378.779249,8.6311,,,,
998,2,R3678,R3,NT,NT,0,None,381.047491,383.474179,0,,,,
999,2,R3678,R3,NT,NT,0,None,383.482407,385.951123,2.476944,,,,
1000,2,R3678,R3,NT,NT,0,None,385.95921,388.686329,5.21215,,,,
1001,2,R3678,R3,TT,TT,0,left,388.694462,390.162096,6.687917,,,,
1002,2,R3678,R3,NT,NT,0,None,392.480419,395.257563,0,,,,
1003,2,R3678,R3,NT,NT,0,None,395.265667,397.542383,2.28482,,,,
1004,2,R3678,R3,NT,NT,0,None,397.550548,399.969093,4.71153,,,,
1005,2,R3678,R3,MWQ,Focus,0,2,399.977229,401.594943,,-1.063,-0.85,1.452,1
1018,2,R3678,R3,NT,NT,0,None,466.548341,468.874743,0,,,,
1019,2,R3678,R3,NT,NT,0,None,468.883315,471.25182,2.377077,,,,
1020,2,R3678,R3,MWQ,Focus,0,4,471.259943,472.877732,,1.724,1.573,0.336,-0.801
1033,2,R3678,R3,NT,NT,0,None,537.839357,540.616109,0,,,,
1034,2,R3678,R3,NT,NT,0,None,540.624642,543.093226,2.477117,,,,
1057,2,R3678,R4,NT,NT,0,None,0,2.47681,0,,,,
1058,2,R3678,R4,NT,NT,0,None,2.48536599999999,5.154124,2.677314,,,,
1059,2,R3678,R4,NT,NT,0,None,5.162235,7.78088199999999,5.304072,,,,
1060,2,R3678,R4,NT,NT,0,None,7.78900299999999,10.207594,7.730784,,,,
1061,2,R3678,R4,TT,TT,0,left,10.215801,11.833452,9.356642,,,,
1062,2,R3678,R4,NT,NT,0,None,14.001647,16.57042,0,,,,
1063,2,R3678,R4,NT,NT,0,None,16.578502,19.305574,2.735154,,,,
1064,2,R3678,R4,NT,NT,0,None,19.313633,22.090845,5.520425,,,,
1065,2,R3678,R4,NT,NT,0,None,22.098963,24.575837,8.005417,,,,
1066,2,R3678,R4,TT,TT,0,left,24.584,26.3102,9.73978,,,,
1067,2,R3678,R4,NT,NT,0,None,28.57845,31.105351,0,,,,
1068,2,R3678,R4,NT,NT,0,None,31.113525,33.640529,2.535178,,,,
1069,2,R3678,R4,TT,TT,0,left,33.648615,35.366486,4.261135,,,,
1070,2,R3678,R4,NT,NT,0,None,37.484634,39.953173,0,,,,
1071,2,R3678,R4,NT,NT,0,None,39.961326,42.630067,2.676894,,,,
1072,2,R3678,R4,NT,NT,0,None,42.638198,45.106738,5.153565,,,,
1073,2,R3678,R4,MWQ,Focus,0,2,45.114879,46.590601,,-0.812,-0.435,2.04,1.346
1086,2,R3678,R4,NT,NT,0,None,111.552551,114.229203,0,,,,
1087,2,R3678,R4,NT,NT,0,None,114.237749,117.156656,2.927453,,,,
1088,2,R3678,R4,TT,TT,0,right,117.164744,118.532379,4.303176,,,,
1089,2,R3678,R4,NT,NT,0,None,121.050825,123.727918,0,,,,
1090,2,R3678,R4,NT,NT,0,None,123.735976,126.304662,2.576744,,,,
1091,2,R3678,R4,TT,TT,0,right,126.312764,127.880519,4.152601,,,,
1092,2,R3678,R4,NT,NT,0,None,130.148785,132.767438,0,,,,
1093,2,R3678,R4,NT,NT,0,None,132.775552,135.60281,2.835372,,,,
1094,2,R3678,R4,MWQ,Focus,0,3,135.610893,136.986839,,-0.781,-0.78,2.304,1.13
1107,2,R3678,R4,NT,NT,0,None,201.948456,204.274783,0,,,,
1270,3,R2595,R1,NT,NT,0,None,265.375723,267.85212,0,,,,
1271,3,R2595,R1,NT,NT,0,None,267.860399,270.429411,2.577291,,,,
1272,3,R2595,R1,NT,NT,0,None,270.437532,273.156291,5.304171,,,,
1273,3,R2595,R1,TT,TT,0,right,273.164409,274.582054,6.729934,,,,
1274,3,R2595,R1,NT,NT,0,None,277.100466,279.87768,0,,,,
1275,3,R2595,R1,NT,NT,0,None,279.88575,282.754601,2.876921,,,,
1276,3,R2595,R1,TT,TT,0,left,282.762721,284.438895,4.561215,,,,
1277,3,R2595,R1,NT,NT,0,None,286.657108,289.375847,0,,,,
1278,3,R2595,R1,NT,NT,0,None,289.383954,292.152786,2.776939,,,,
1279,3,R2595,R1,NT,NT,0,None,292.16083,294.42924,5.053393,,,,
1280,3,R2595,R1,MWQ,Focus,0,2,294.437424,296.163693,,-1.013,-0.54,0.913,1.172
1293,3,R2595,R1,NT,NT,0,None,361.125273,363.852082,0,,,,
1294,3,R2595,R1,NT,NT,0,None,363.860525,366.437431,2.585349,,,,
1295,3,R2595,R1,NT,NT,0,None,366.445654,369.122674,5.270592,,,,
1296,3,R2595,R1,MWQ,Focus,0,3,369.130838,370.756956,,0.056,-2.351,0.799,0.119
1309,3,R2595,R1,NT,NT,0,None,435.718599,438.245091,0,,,,
1310,3,R2595,R1,NT,NT,0,None,438.253376,440.572125,2.327034,,,,
1311,3,R2595,R1,NT,NT,0,None,440.580288,443.098973,4.853882,,,,
1312,3,R2595,R1,NT,NT,0,None,443.107054,445.475528,7.230437,,,,
1313,3,R2595,R1,TT,TT,0,left,445.483678,447.159861,8.91477,,,,
1314,3,R2595,R1,NT,NT,0,None,449.528163,451.996724,0,,,,
1315,3,R2595,R1,NT,NT,0,None,452.00486,454.48183,2.485106,,,,
1316,3,R2595,R1,NT,NT,0,None,454.489935,456.716612,4.719888,,,,
1317,3,R2595,R1,TT,TT,0,right,456.724802,458.300829,6.304105,,,,
1318,3,R2595,R1,NT,NT,0,None,460.419031,462.94592,0,,,,
1319,3,R2595,R1,NT,NT,0,None,462.954105,465.08074,2.13482,,,,
1320,3,R2595,R1,MWQ,Focus,0,2,465.088918,466.715083,,-0.082,-2.175,0.682,0.844
1333,3,R2595,R1,NT,NT,0,None,531.67668,534.303289,0,,,,
1334,3,R2595,R1,NT,NT,0,None,534.311855,537.03902,2.735731,,,,
1335,3,R2595,R1,TT,TT,0,left,537.047101,538.573159,4.26987,,,,
1336,3,R2595,R1,NT,NT,0,None,540.741264,543.610145,0,,,,
1359,3,R2595,R2,NT,NT,0,None,0,2.526851,0,,,,
1360,3,R2595,R2,NT,NT,0,None,2.53537900000001,5.10394,2.577089,,,,
1361,3,R2595,R2,TT,TT,0,left,5.112109,6.488066,3.961215,,,,
1362,3,R2595,R2,NT,NT,0,None,8.756329,11.124732,0,,,,
1363,3,R2595,R2,NT,NT,0,None,11.132923,13.601549,2.476817,,,,
1364,3,R2595,R2,NT,NT,0,None,13.609565,16.078236,4.953504,,,,
1365,3,R2595,R2,NT,NT,0,None,16.086371,18.563255,7.438523,,,,
1366,3,R2595,R2,TT,TT,0,right,18.571405,20.247579,9.122847,,,,
1367,3,R2595,R2,NT,NT,0,None,22.465743,25.034402,0,,,,
1368,3,R2595,R2,NT,NT,0,None,25.042551,27.761282,2.72688,,,,
1369,3,R2595,R2,MWQ,Focus,0,2,27.7694,29.245111,,-0.839,-1.708,-0.01,-0.872
1382,3,R2595,R2,NT,NT,0,None,94.207176,96.933796,0,,,,
1383,3,R2595,R2,NT,NT,0,None,96.942333,99.460906,2.52711,,,,
1384,3,R2595,R2,TT,TT,0,left,99.469063,101.086869,4.153073,,,,
1385,3,R2595,R2,NT,NT,0,None,103.255062,105.82373,0,,,,
1386,3,R2595,R2,NT,NT,0,None,105.831803,108.350474,2.526744,,,,
1387,3,R2595,R2,NT,NT,0,None,108.358568,110.985604,5.161874,,,,
1388,3,R2595,R2,MWQ,Focus,0,2,110.993658,112.719943,,-0.317,-0.239,-0.703,-2.027
1401,3,R2595,R2,NT,NT,0,None,177.681515,180.057902,0,,,,
1402,3,R2595,R2,NT,NT,0,None,180.066509,182.835298,2.777396,,,,
1403,3,R2595,R2,TT,TT,0,right,182.843445,184.511287,4.453385,,,,
1404,3,R2595,R2,NT,NT,0,None,186.779539,189.498283,0,,,,
1405,3,R2595,R2,NT,NT,0,None,189.506396,192.225175,2.726892,,,,
1406,3,R2595,R2,TT,TT,0,left,192.23321,193.759349,4.261066,,,,
1407,3,R2595,R2,NT,NT,0,None,195.927539,198.445552,0,,,,
1408,3,R2595,R2,NT,NT,0,None,198.454265,201.02286,2.577308,,,,
1510,2,R2595,R3,NT,NT,0,None,0,2.47671000000001,0,,,,
1511,2,R2595,R3,NT,NT,0,None,2.48496600000001,5.41261800000001,2.935908,,,,
1512,2,R2595,R3,TT,TT,0,left,5.42064000000001,7.08850400000001,4.611794,,,,
1513,2,R2595,R3,NT,NT,0,None,9.45681800000001,11.833526,0,,,,
1514,2,R2595,R3,NT,NT,0,None,11.841767,14.268641,2.435115,,,,
1515,2,R2595,R3,TT,TT,0,right,14.276787,15.99466,4.161134,,,,
1516,2,R2595,R3,NT,NT,0,None,18.312936,20.781452,0,,,,
1517,2,R2595,R3,NT,NT,0,None,20.789606,23.316565,2.535113,,,,
1518,2,R2595,R3,NT,NT,0,None,23.324725,25.843353,5.061901,,,,
1519,2,R2595,R3,TT,TT,0,left,25.851474,27.169066,6.387614,,,,
1520,2,R2595,R3,NT,NT,0,None,29.387269,32.00591,0,,,,
1521,2,R2595,R3,NT,NT,0,None,32.014075,34.732873,2.726963,,,,
1522,2,R2595,R3,TT,TT,0,left,34.741001,36.317067,4.311157,,,,
1523,2,R2595,R3,NT,NT,0,None,38.735416,41.053761,0,,,,
1524,2,R2595,R3,NT,NT,0,None,41.061989,43.530624,2.476863,,,,
1525,2,R2595,R3,NT,NT,0,None,43.538728,45.957267,4.903506,,,,
1526,2,R2595,R3,NT,NT,0,None,45.965397,48.584148,7.530387,,,,
