unique_ID,IDNO,RNUM,RUN,stimType,mwType,nBack,keyResp,fixStart_offset,stimStart_offset,counter,Task_PC,Detail_PC,Modality_PC,Emotion_PC
522,1,R3262,R4,NT,NT,1,None,312.417318,314.994381,4.86174,,,,
523,1,R3262,R4,MWQ,Focus,1,1,315.002423,316.6703,,-1.082,0.234,1.127,0.971
536,1,R3262,R4,NT,NT,1,None,381.632105,384.05854,0,,,,
604,2,R3678,R1,NT,NT,1,None,0,2.585274,0,,,,
605,2,R3678,R1,NT,NT,1,None,2.593667,5.462663,2.877389,,,,
606,2,R3678,R1,TT,TT,1,right,5.470795,7.088523,4.503249,,,,
607,2,R3678,R1,NT,NT,1,None,9.456816,11.683632,0,,,,
608,2,R3678,R1,NT,NT,1,None,11.691756,14.518941,2.835309,,,,
609,2,R3678,R1,TT,TT,1,right,14.527006,15.894627,4.210995,,,,
610,2,R3678,R1,NT,NT,1,None,18.11283,20.781635,0,,,,
611,2,R3678,R1,NT,NT,1,None,20.789374,23.20812,2.426485,,,,
612,2,R3678,R1,MWQ,Focus,1,4,23.216344,24.692136,,0.066,1.427,0.334,1.26
625,2,R3678,R1,NT,NT,1,None,89.654118,92.530937,0,,,,
626,2,R3678,R1,NT,NT,1,None,92.539428,95.108189,2.577252,,,,
627,2,R3678,R1,NT,NT,1,None,95.11623,97.734538,5.203601,,,,
628,2,R3678,R1,TT,TT,1,right,97.74302,99.260765,6.729828,,,,
629,2,R3678,R1,NT,NT,1,None,101.729082,104.306092,0,,,,
630,2,R3678,R1,NT,NT,1,None,104.314234,107.191503,2.885411,,,,
631,2,R3678,R1,MWQ,Focus,1,3,107.199593,108.575566,,0.367,0.805,0.236,-0.007
644,2,R3678,R1,NT,NT,1,None,173.536918,176.163749,0,,,,
645,2,R3678,R1,NT,NT,1,None,176.17234,178.540827,2.377078,,,,
646,2,R3678,R1,NT,NT,1,None,178.548991,180.9675,4.803751,,,,
647,2,R3678,R1,NT,NT,1,None,180.975669,183.394188,7.230439,,,,
648,2,R3678,R1,TT,TT,1,right,183.40235,185.070198,8.906449,,,,
649,2,R3678,R1,NT,NT,1,None,187.588568,190.215685,0,,,,
650,2,R3678,R1,NT,NT,1,None,190.223756,192.592248,2.376563,,,,
651,2,R3678,R1,MWQ,Focus,1,4,192.600394,193.917995,,1.577,1.538,-1.369,0.343
664,2,R3678,R1,NT,NT,1,None,258.879634,261.306119,0,,,,
821,2,R3678,R2,NT,NT,1,None,274.73222,277.458872,0,,,,
822,2,R3678,R2,NT,NT,1,None,277.467384,280.236206,2.777334,,,,
823,2,R3678,R2,TT,TT,1,left,280.24437,281.561925,4.103053,,,,
824,2,R3678,R2,NT,NT,1,None,284.080362,287.007541,0,,,,
825,2,R3678,R2,NT,NT,1,None,287.015697,289.634411,2.62687,,,,
826,2,R3678,R2,TT,TT,1,right,289.642454,291.310299,4.302758,,,,
827,2,R3678,R2,NT,NT,1,None,293.828772,296.355759,0,,,,
828,2,R3678,R2,NT,NT,1,None,296.363871,299.03263,2.676871,,,,
829,2,R3678,R2,NT,NT,1,None,299.040717,301.567626,5.211867,,,,
830,2,R3678,R2,MWQ,Focus,1,4,301.575764,303.293641,,0.378,-0.261,0.533,-0.188
843,2,R3678,R2,NT,NT,1,None,368.255249,370.881904,0,,,,
844,2,R3678,R2,NT,NT,1,None,370.890426,373.55913,2.677226,,,,
845,2,R3678,R2,TT,TT,1,left,373.567221,375.243449,4.361545,,,,
846,2,R3678,R2,NT,NT,1,None,377.561752,379.78011,0,,,,
847,2,R3678,R2,NT,NT,1,None,379.788241,382.365252,2.585142,,,,
848,2,R3678,R2,TT,TT,1,left,382.373371,383.999487,4.219377,,,,
849,2,R3678,R2,NT,NT,1,None,386.16756,388.335964,0,,,,
850,2,R3678,R2,NT,NT,1,None,388.344164,390.670812,2.334848,,,,
851,2,R3678,R2,NT,NT,1,None,390.679103,393.147691,4.811727,,,,
852,2,R3678,R2,TT,TT,1,right,393.155853,394.573502,6.237538,,,,
853,2,R3678,R2,NT,NT,1,None,396.941791,399.618789,0,,,,
854,2,R3678,R2,NT,NT,1,None,399.626707,402.09516,2.476371,,,,
855,2,R3678,R2,MWQ,Focus,1,3,402.103708,403.67114,,-0.534,-0.06,1.612,-0.784
868,2,R3678,R2,NT,NT,1,None,468.633126,471.009451,0,,,,
869,2,R3678,R2,NT,NT,1,None,471.018061,473.636741,2.62729,,,,
870,2,R3678,R2,MWQ,Focus,1,4,473.64488,475.270967,,1.026,2.006,-1.433,0.125
883,2,R3678,R2,NT,NT,1,None,540.23267,543.05941,0,,,,
906,2,R3678,R3,NT,NT,1,None,0,2.526811,0,,,,
907,2,R3678,R3,NT,NT,1,None,2.535131,5.053983,2.527172,,,,
908,2,R3678,R3,TT,TT,1,right,5.062179,6.72992,4.203109,,,,
909,2,R3678,R3,NT,NT,1,None,9.048234,11.716943,0,,,,
910,2,R3678,R3,NT,NT,1,None,11.725022,14.393809,2.676866,,,,
911,2,R3678,R3,MWQ,Focus,1,3,14.40195,15.777543,,-0.268,-0.459,1.079,1.772
924,2,R3678,R3,NT,NT,1,None,80.739577,83.366179,0,,,,
925,2,R3678,R3,NT,NT,1,None,83.374706,86.101854,2.735675,,,,
926,2,R3678,R3,NT,NT,1,None,86.109914,88.937138,5.570959,,,,
927,2,R3678,R3,TT,TT,1,right,88.945238,90.66309,7.296911,,,,
928,2,R3678,R3,NT,NT,1,None,92.831268,95.308118,0,,,,
929,2,R3678,R3,NT,NT,1,None,95.316299,97.584667,2.276549,,,,
930,2,R3678,R3,MWQ,Focus,1,4,97.592528,99.11057,,-0.65,-0.413,-0.711,-2.835
943,2,R3678,R3,NT,NT,1,None,164.072193,166.598734,0,,,,
944,2,R3678,R3,NT,NT,1,None,166.607311,169.434525,2.835791,,,,
945,2,R3678,R3,NT,NT,1,None,169.442638,172.161456,5.562722,,,,
946,2,R3678,R3,TT,TT,1,right,172.169499,173.487099,6.888365,,,,
947,2,R3678,R3,NT,NT,1,None,175.755327,178.424116,0,,,,
948,2,R3678,R3,NT,NT,1,None,178.432195,180.608827,2.184711,,,,
949,2,R3678,R3,NT,NT,1,None,180.617022,183.185599,4.761483,,,,
950,2,R3678,R3,TT,TT,1,right,183.193801,184.81994,6.395824,,,,
951,2,R3678,R3,NT,NT,1,None,187.138227,190.065479,0,,,,
952,2,R3678,R3,NT,NT,1,None,190.073529,192.592128,2.526649,,,,
953,2,R3678,R3,TT,TT,1,left,192.600316,194.068027,4.002548,,,,
954,2,R3678,R3,NT,NT,1,None,196.536405,199.20514,0,,,,
1109,2,R3678,R4,NT,NT,1,None,207.702454,210.379095,0,,,,
1110,2,R3678,R4,NT,NT,1,None,210.38764,212.605906,2.226811,,,,
1111,2,R3678,R4,NT,NT,1,None,212.613803,214.882537,4.503442,,,,
1112,2,R3678,R4,MWQ,Focus,1,4,214.890728,216.216693,,1.986,1.866,2.085,-1.161
1125,2,R3678,R4,NT,NT,1,None,281.178312,283.854993,0,,,,
1126,2,R3678,R4,NT,NT,1,None,283.863473,286.432137,2.577144,,,,
1127,2,R3678,R4,MWQ,Focus,1,3,286.440221,287.958022,,-1.157,-0.162,0.487,-2.043
1140,2,R3678,R4,NT,NT,1,None,352.919668,355.646311,0,,,,
1141,2,R3678,R4,NT,NT,1,None,355.654889,358.031703,2.385392,,,,
1142,2,R3678,R4,NT,NT,1,None,358.039818,360.666885,5.020574,,,,
1143,2,R3678,R4,TT,TT,1,left,360.675008,362.401217,6.754906,,,,
1144,2,R3678,R4,NT,NT,1,None,364.569292,367.44661,0,,,,
1145,2,R3678,R4,NT,NT,1,None,367.454708,369.981626,2.535016,,,,
1146,2,R3678,R4,NT,NT,1,None,369.989759,372.816959,5.370349,,,,
1147,2,R3678,R4,TT,TT,1,right,372.82508,374.392836,6.946226,,,,
1148,2,R3678,R4,NT,NT,1,None,376.911267,379.680079,0,,,,
1149,2,R3678,R4,NT,NT,1,None,379.688187,382.36526,2.685181,,,,
1150,2,R3678,R4,MWQ,Focus,1,3,382.373285,383.740977,,-0.457,2.372,1.021,-1.38
1163,2,R3678,R4,NT,NT,1,None,448.702595,451.379134,0,,,,
1164,2,R3678,R4,NT,NT,1,None,451.387819,453.706198,2.327064,,,,
1165,2,R3678,R4,TT,TT,1,right,453.714389,455.232125,3.852991,,,,
1166,2,R3678,R4,NT,NT,1,None,457.350283,460.027353,0,,,,
1167,2,R3678,R4,NT,NT,1,None,460.035451,462.261544,2.234191,,,,
1168,2,R3678,R4,NT,NT,1,None,462.270305,464.63881,4.611457,,,,
1169,2,R3678,R4,TT,TT,1,right,464.646961,466.223077,6.195724,,,,
1170,2,R3678,R4,NT,NT,1,None,468.54134,471.259963,0,,,,
1171,2,R3678,R4,NT,NT,1,None,471.268149,474.044952,2.784989,,,,
1172,2,R3678,R4,MWQ,Focus,1,4,474.053487,475.721315,,1.522,1.988,-1.186,0.108
1185,2,R3678,R4,NT,NT,1,None,540.682905,543.009236,0,,,,
1208,3,R2595,R1,NT,NT,1,None,0,2.476832,0,,,,
1209,3,R2595,R1,NT,NT,1,None,2.48539,4.862155,2.385323,,,,
1210,3,R2595,R1,TT,TT,1,right,4.870325,6.438095,3.961263,,,,
1211,3,R2595,R1,NT,NT,1,None,8.956434,11.625193,0,,,,
1212,3,R2595,R1,NT,NT,1,None,11.633285,14.210395,2.585202,,,,
1213,3,R2595,R1,NT,NT,1,None,14.218486,16.745372,5.120179,,,,
1214,3,R2595,R1,NT,NT,1,None,16.753544,18.971928,7.346735,,,,
1215,3,R2595,R1,MWQ,Focus,1,4,18.980096,20.706002,,1.468,-1.77,-1.155,-0.499
1228,3,R2595,R1,NT,NT,1,None,85.659595,88.386326,0,,,,
1229,3,R2595,R1,NT,NT,1,None,88.394862,91.222027,2.835701,,,,
1230,3,R2595,R1,TT,TT,1,right,91.23014,92.847918,4.461592,,,,
1231,3,R2595,R1,NT,NT,1,None,95.116159,97.584783,0,,,,
1232,3,R2595,R1,NT,NT,1,None,97.592813,99.961351,2.376568,,,,
1233,3,R2595,R1,MWQ,Focus,1,4,99.969174,101.537292,,0.754,-1.545,-1.528,-1.911
1246,3,R2595,R1,NT,NT,1,None,166.49867,169.325679,0,,,,
1247,3,R2595,R1,NT,NT,1,None,169.334203,172.103023,2.777344,,,,
1248,3,R2595,R1,NT,NT,1,None,172.111126,174.679803,5.354124,,,,
1249,3,R2595,R1,TT,TT,1,right,174.687907,176.113899,6.78822,,,,
1250,3,R2595,R1,NT,NT,1,None,178.432173,180.859048,0,,,,
1251,3,R2595,R1,NT,NT,1,None,180.867181,183.494231,2.635183,,,,
1252,3,R2595,R1,MWQ,Focus,1,4,183.502343,185.070091,,1.209,-2.433,-1.113,-0.361
1265,3,R2595,R1,NT,NT,1,None,250.031717,252.608244,0,,,,
1266,3,R2595,R1,NT,NT,1,None,252.616759,255.385685,2.777441,,,,
1267,3,R2595,R1,TT,TT,1,left,255.393708,256.71133,4.103086,,,,
1268,3,R2595,R1,NT,NT,1,None,258.929548,261.598311,0,,,,
1410,3,R2595,R2,NT,NT,1,None,204.800348,207.326879,0,,,,
1411,3,R2595,R2,NT,NT,1,None,207.335401,210.062466,2.735587,,,,
1412,3,R2595,R2,NT,NT,1,None,210.070626,212.847821,5.520942,,,,
1413,3,R2595,R2,NT,NT,1,None,212.855899,215.074206,7.747327,,,,
1414,3,R2595,R2,MWQ,Focus,1,3,215.082412,216.458354,,0.665,-2.324,-0.645,-0.425
1427,3,R2595,R2,NT,NT,1,None,281.419951,283.946505,0,,,,
1428,3,R2595,R2,NT,NT,1,None,283.955068,286.673516,2.727011,,,,
1429,3,R2595,R2,MWQ,Focus,1,4,286.682003,288.108003,,1.819,-1.698,-1.134,-0.322
1442,3,R2595,R2,NT,NT,1,None,353.06954,355.596111,0,,,,
1443,3,R2595,R2,NT,NT,1,None,355.604279,358.22338,2.627269,,,,
1444,3,R2595,R2,NT,NT,1,None,358.231181,360.65786,5.061749,,,,
1445,3,R2595,R2,TT,TT,1,right,360.666491,362.284304,6.688193,,,,
1446,3,R2595,R2,NT,NT,1,None,364.60261,367.121209,0,,,,
1447,3,R2595,R2,NT,NT,1,None,367.12925,369.747907,2.626698,,,,
1448,3,R2595,R2,TT,TT,1,right,369.756127,371.323894,4.202685,,,,
1449,3,R2595,R2,NT,NT,1,None,373.742265,376.210825,0,,,,
1450,3,R2595,R2,NT,NT,1,None,376.21895,378.837338,2.626513,,,,
1451,3,R2595,R2,NT,NT,1,None,378.845765,381.364295,5.15347,,,,
1452,3,R2595,R2,NT,NT,1,None,381.37246,383.991141,7.780316,,,,
1453,3,R2595,R2,TT,TT,1,right,383.99934,385.525392,9.314567,,,,
1454,3,R2595,R2,NT,NT,1,None,387.99374,390.871043,0,,,,
1455,3,R2595,R2,NT,NT,1,None,390.87911,393.297605,2.426562,,,,
1456,3,R2595,R2,MWQ,Focus,1,3,393.305703,394.87348,,0.366,-0.389,-0.337,-2.347
1469,3,R2595,R2,NT,NT,1,None,459.843497,462.570241,0,,,,
1470,3,R2595,R2,NT,NT,1,None,462.578713,464.955584,2.385343,,,,
1471,3,R2595,R2,TT,TT,1,right,464.963724,466.481417,3.911176,,,,
1472,3,R2595,R2,NT,NT,1,None,468.699631,471.468458,0,,,,
1473,3,R2595,R2,NT,NT,1,None,471.476509,473.994999,2.526541,,,,
1474,3,R2595,R2,MWQ,Focus,1,3,474.003292,475.379272,,0.771,-2.158,0.57,-0.932
1487,3,R2595,R2,NT,NT,1,None,540.340876,542.96751,0,,,,
1549,2,R2595,R3,NT,NT,1,None,142.407062,145.233957,0,,,,
1550,2,R2595,R3,NT,NT,1,None,145.242442,147.61094,2.376983,,,,
1551,2,R2595,R3,MWQ,Focus,1,2,147.618976,148.936678,,-0.41,-2.249,-0.262,-0.774
1564,2,R2595,R3,NT,NT,1,None,213.898281,216.424883,0,,,,
1565,2,R2595,R3,NT,NT,1,None,216.433389,218.902021,2.477138,,,,
1566,2,R2595,R3,TT,TT,1,right,218.910108,220.486203,4.06132,,,,
1567,2,R2595,R3,NT,NT,1,None,222.904529,225.623314,0,,,,
1568,2,R2595,R3,NT,NT,1,None,225.631365,228.099932,2.476618,,,,
1569,2,R2595,R3,NT,NT,1,None,228.108117,230.626703,5.003389,,,,
1570,2,R2595,R3,TT,TT,1,left,230.634863,232.310994,6.68768,,,,
1571,2,R2595,R3,NT,NT,1,None,234.779364,237.398052,0,,,,
1572,2,R2595,R3,NT,NT,1,None,237.406252,239.974868,2.576816,,,,
1573,2,R2595,R3,TT,TT,1,right,239.983017,241.709228,4.311176,,,,
1574,2,R2595,R3,NT,NT,1,None,244.227628,246.445994,0,,,,
1575,2,R2595,R3,NT,NT,1,None,246.454113,248.922752,2.476758,,,,
1576,2,R2595,R3,NT,NT,1,None,248.930874,251.507874,5.06188,,,,
1577,2,R2595,R3,MWQ,Focus,1,3,251.51601,253.192191,,0.836,-2.472,-1.192,-0.35
1590,2,R2595,R3,NT,NT,1,None,318.162236,320.638584,0,,,,
1591,2,R2595,R3,NT,NT,1,None,320.647166,323.274193,2.635609,,,,
1592,2,R2595,R3,MWQ,Focus,1,4,323.282334,324.658322,,1.209,-2.433,-1.113,-0.361
1605,2,R2595,R3,NT,NT,1,None,389.611568,392.288215,0,,,,
1606,2,R2595,R3,NT,NT,1,None,392.29678,395.115605,2.82739,,,,
1607,2,R2595,R3,NT,NT,1,None,395.12375,397.592236,5.304021,,,,
1608,2,R2595,R3,NT,NT,1,None,397.600428,400.277545,7.98933,,,,
1609,2,R2595,R3,MWQ,Focus,1,4,400.285662,401.753283,,1.287,-1.859,-1.065,-0.023
1622,2,R2595,R3,NT,NT,1,None,466.706615,469.233201,0,,,,
1623,2,R2595,R3,NT,NT,1,None,469.241725,471.660148,2.426947,,,,
1624,2,R2595,R3,MWQ,Focus,1,4,471.668351,473.286144,,1.501,-1.859,-0.587,-0.423
1637,2,R2595,R3,NT,NT,1,None,538.239485,541.016147,0,,,,
1638,2,R2595,R3,NT,NT,1,None,541.024718,543.501626,2.485479,,,,
1661,3,R2595,R4,NT,NT,1,None,0,2.827155,0,,,,
